# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 5.829543902514908206e+37
9.997667210984103804e+03 5.833034482258056195e+37
9.995335510095288555e+03 5.836645313541216854e+37
9.993004896572398138e+03 5.840142183319916908e+37
9.990675369654989481e+03 5.843636434230123605e+37
9.988346928583318004e+03 5.846948299360449630e+37
9.986019572598363084e+03 5.850213007661922799e+37
9.983693300941797133e+03 5.853396337968038127e+37
9.981368112856000153e+03 5.856778029579718062e+37
9.979044007584074279e+03 5.859841907039918031e+37
9.976720984369805592e+03 5.863003772588374833e+37
9.974399042457691394e+03 5.865404304831833769e+37
9.972078181092938394e+03 5.868089713669659648e+37
9.969758399521451793e+03 5.870529396239568924e+37
9.967439696989833465e+03 5.873159015412512957e+37
9.965122072745391051e+03 5.875839896304595484e+37
9.962805526036134324e+03 5.878286883464461097e+37
9.960490056110758815e+03 5.881262369557226899e+37
9.958175662218682191e+03 5.883509114135180904e+37
9.955862343609996969e+03 5.886096960284492390e+37
9.953550099535501431e+03 5.888260342441992635e+37
9.951238929246690532e+03 5.890586506367912811e+37
9.948928831995755900e+03 5.892745733838348984e+37
9.946619807035574922e+03 5.894972313619796116e+37
9.944311853619728936e+03 5.897623196301165392e+37
9.942004971002486855e+03 5.900100166364370862e+37
9.939699158438805171e+03 5.902885272088135521e+37
9.937394415184338868e+03 5.905473303393807345e+37
9.935090740495432328e+03 5.908062858261465964e+37
9.932788133629108415e+03 5.910618295830035243e+37
9.930486593843097580e+03 5.913583673676133482e+37
9.928186120395803300e+03 5.916676447884199684e+37
9.925886712546320268e+03 5.919484329391117685e+37
9.923588369554430756e+03 5.922631495266610453e+37
9.921291090680602792e+03 5.925552638903354907e+37
9.918994875185979254e+03 5.928641613862451595e+37
9.916699722332408783e+03 5.931347731854992720e+37
9.914405631382398496e+03 5.934812493678391911e+37
9.912112601599152185e+03 5.937905832258251146e+37
9.909820632246555761e+03 5.940990478545766540e+37
9.907529722589168159e+03 5.943761176531647142e+37
