# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 4.323159936553651628e+37
9.997667210984103804e+03 4.331054601045992307e+37
9.995335510095288555e+03 4.338865919578011557e+37
9.993004896572398138e+03 4.346618701049637200e+37
9.990675369654989481e+03 4.354364380737904474e+37
9.988346928583318004e+03 4.362065638781307558e+37
9.986019572598363084e+03 4.369578244563300052e+37
9.983693300941797133e+03 4.375356750473794846e+37
9.981368112856000153e+03 4.359524950931091618e+37
9.979044007584074279e+03 4.330763324033752631e+37
9.976720984369805592e+03 4.300782271080529303e+37
9.974399042457691394e+03 4.264989681556837573e+37
9.972078181092938394e+03 4.226652873459659110e+37
9.969758399521451793e+03 4.182435221234670232e+37
9.967439696989833465e+03 4.138551773016722195e+37
9.965122072745391051e+03 4.099448806150664147e+37
9.962805526036134324e+03 4.054099239242781885e+37
9.960490056110758815e+03 4.008380310669993723e+37
9.958175662218682191e+03 3.968713924395815861e+37
9.955862343609996969e+03 3.925206971486816718e+37
9.953550099535501431e+03 3.882272857773735094e+37
9.951238929246690532e+03 3.843861290930441659e+37
9.948928831995755900e+03 3.812718672909251485e+37
9.946619807035574922e+03 3.779862231229474186e+37
9.944311853619728936e+03 3.743396604890976660e+37
9.942004971002486855e+03 3.697413207368114534e+37
9.939699158438805171e+03 3.653226790935648916e+37
9.937394415184338868e+03 3.615500450077501660e+37
9.935090740495432328e+03 3.585189174663089908e+37
9.932788133629108415e+03 3.557539460543939041e+37
9.930486593843097580e+03 3.534719706264360435e+37
9.928186120395803300e+03 3.512493630934606465e+37
9.925886712546320268e+03 3.484208208668941270e+37
9.923588369554430756e+03 3.463922405206337455e+37
9.921291090680602792e+03 3.440548277647815046e+37
9.918994875185979254e+03 3.422418245683517054e+37
9.916699722332408783e+03 3.405095032049802401e+37
9.914405631382398496e+03 3.387334143585540338e+37
9.912112601599152185e+03 3.372817802533093307e+37
9.909820632246555761e+03 3.360496876473172306e+37
9.907529722589168159e+03 3.349684743809137372e+37
9.905239871892230440e+03 3.342369942971293878e+37
9.902951079421667600e+03 3.335473695411795485e+37
9.900663344444077666e+03 3.326375952064626676e+37
9.898376666226738962e+03 3.320072209744815642e+37
9.896091044037604661e+03 3.315093804465989115e+37
9.893806477145308236e+03 3.313593357468892040e+37
9.891522964819148910e+03 3.311834244583257077e+37
9.889240506329115306e+03 3.312700648752763925e+37
9.886959100945854516e+03 3.315005476707224924e+37
9.884678747940692119e+03 3.317652217016293129e+37
9.882399446585630358e+03 3.323118328819996045e+37
9.880121196153340861e+03 3.328087158874712234e+37
9.877843995917157372e+03 3.334407441491146456e+37
9.875567845151095753e+03 3.340699822287671772e+37
9.873292743129835799e+03 3.345925998229871316e+37
9.871018689128717597e+03 3.352169797231773658e+37
9.868745682423765174e+03 3.358880397687120400e+37
9.866473722291653758e+03 3.365585979256171654e+37
9.864202808009733417e+03 3.372581318101355776e+37
9.861932938856016335e+03 3.379106510727886561e+37
9.859664114109178627e+03 3.384354393477529193e+37
9.857396333048563974e+03 3.389352977774288618e+37
9.855129594954172717e+03 3.394249272017547222e+37
9.852863899106672761e+03 3.398945141180572163e+37
9.850599244787390489e+03 3.403132458460212247e+37
9.848335631278314395e+03 3.407218506325685556e+37
9.846073057862089627e+03 3.411392213282562436e+37
9.843811523822023446e+03 3.414821111651589904e+37
9.841551028442083407e+03 3.418560048327145674e+37
9.839291571006888262e+03 3.421960021826947903e+37
9.837033150801717056e+03 3.426553737412784514e+37
9.834775767112510948e+03 3.430313709071714846e+37
9.832519419225853198e+03 3.434077485270370872e+37
9.830264106428990999e+03 3.435450668076013022e+37
9.828009828009828198e+03 3.432170045752335527e+37
9.825756583256910744e+03 3.425401938612005284e+37
9.823504371459444883e+03 3.416952629540351265e+37
9.821253191907286237e+03 3.405318117517594564e+37
9.819003043890945264e+03 3.391595495440220362e+37
9.816753926701569071e+03 3.376455786687682821e+37
9.814505839630974151e+03 3.359739005157308989e+37
9.812258781971610006e+03 3.343099403035371053e+37
9.810012753016577335e+03 3.323997093611555599e+37
9.807767752059631675e+03 3.304601259087914533e+37
9.805523778395163390e+03 3.284603209936962570e+37
9.803280831318212222e+03 3.263799644830278182e+37
9.801038910124472750e+03 3.242233711485621902e+37
9.798798014110270742e+03 3.221344523634708386e+37
9.796558142572575889e+03 3.192503493568139657e+37
9.794319294809010898e+03 3.164219006552917042e+37
9.792081470117831486e+03 3.131879552292648149e+37
9.789844667797937291e+03 3.111961696906509925e+37
9.787608887148870053e+03 3.097481596182563817e+37
9.785374127470808162e+03 3.083759158412653104e+37
9.783140388064568469e+03 3.070842156562429204e+37
9.780907668231611751e+03 3.061413121384997088e+37
9.778675967274031791e+03 3.049406530032128355e+37
9.776445284494557200e+03 3.036971719130519562e+37
9.774215619196560510e+03 3.023390988861673932e+37
9.771986970684039989e+03 3.006942473940401647e+37
9.769759338261632365e+03 2.991854361339839147e+37
9.767532721234616474e+03 2.976209205605144648e+37
9.765307118908889606e+03 2.963724378979849394e+37
9.763082530590991155e+03 2.952199598164770610e+37
9.760858955588091703e+03 2.939432126732178475e+37
9.758636393207989386e+03 2.933909240969957082e+37
9.756414842759113526e+03 2.937551437780732363e+37
9.754194303550526456e+03 2.942999947832332566e+37
9.751974774891916240e+03 2.951664088695433970e+37
9.749756256093596676e+03 2.961217635669809372e+37
9.747538746466518205e+03 2.969630095766253659e+37
9.745322245322246090e+03 2.980317365275972770e+37
9.743106751972978600e+03 2.990239531689552890e+37
9.740892265731541556e+03 2.999450015293122292e+37
9.738678785911377418e+03 3.008689023707126426e+37
9.736466311826559831e+03 3.017680709251575278e+37
9.734254842791784540e+03 3.028685199357135664e+37
9.732044378122365742e+03 3.039219908031957282e+37
9.729834917134237912e+03 3.049245543453633598e+37
9.727626459143968532e+03 3.058496986648673985e+37
9.725419003468732626e+03 3.069011128598747918e+37
9.723212549426329133e+03 3.078802060497833259e+37
9.721007096335180904e+03 3.088417153777595467e+37
9.718802643514320152e+03 3.098997650247075745e+37
9.716599190283399366e+03 3.108598669159289154e+37
9.714396735962696766e+03 3.118405398999110774e+37
9.712195279873094478e+03 3.128897881353016375e+37
9.709994821336094901e+03 3.139291133740944318e+37
9.707795359673818893e+03 3.148867762015855873e+37
9.705596894208994854e+03 3.156759702562356807e+37
9.703399424264966001e+03 3.166289892085242591e+37
9.701202949165697646e+03 3.176211634758296485e+37
9.699007468235751730e+03 3.185587119282474989e+37
9.696812980800310470e+03 3.195099244994031594e+37
9.694619486185167261e+03 3.204171413885042801e+37
9.692426983716724862e+03 3.212612051149909835e+37
9.690235472721986298e+03 3.219825089724241137e+37
9.688044952528580325e+03 3.227958959405124701e+37
9.685855422464728690e+03 3.236557559271595507e+37
9.683666881859262503e+03 3.245201890271212389e+37
9.681479330041629510e+03 3.253458222372685665e+37
9.679292766341874085e+03 3.262412638089967190e+37
9.677107190090642689e+03 3.270829306034114159e+37
9.674922600619194782e+03 3.278789929927861719e+37
9.672738997259391908e+03 3.287422988848252227e+37
9.670556379343692242e+03 3.296273236164847078e+37
9.668374746205161500e+03 3.305095322270041450e+37
9.666194097177471122e+03 3.313538963060829224e+37
9.664014431594883717e+03 3.322761705086883913e+37
9.661835748792271261e+03 3.331475253099762026e+37
9.659658048105096896e+03 3.340817034841451917e+37
9.657481328869431309e+03 3.350542874433797687e+37
9.655305590421936358e+03 3.360535914395976120e+37
9.653130832099877807e+03 3.370681920246165401e+37
9.650957053241112590e+03 3.380954652312841481e+37
9.648784253184099725e+03 3.391750597521372534e+37
9.646612431267887587e+03 3.402999908190011373e+37
9.644441586832122994e+03 3.415247581824059769e+37
9.642271719217049395e+03 3.427699970497197124e+37
9.640102827763495952e+03 3.440630406907558604e+37
9.637934911812893915e+03 3.454180544647989845e+37
9.635767970707265704e+03 3.468390428102867099e+37
9.633602003789217633e+03 3.483477458393818654e+37
9.631437010401950829e+03 3.499253284521370458e+37
9.629272989889263044e+03 3.515506030036041590e+37
9.627109941595532291e+03 3.532388327668335256e+37
9.624947864865731390e+03 3.550574676383927314e+37
9.622786759045420695e+03 3.569735078354413951e+37
9.620626623480744456e+03 3.588534703454385002e+37
9.618467457518434458e+03 3.607255777757711746e+37
9.616309260505819111e+03 3.626579567183068248e+37
9.614152031790797992e+03 3.646766063610414145e+37
9.611995770721860026e+03 3.667413754720600070e+37
9.609840476648087133e+03 3.688620795956292454e+37
9.607686148919137850e+03 3.711298707656129320e+37
9.605532786885245514e+03 3.734033692251944441e+37
9.603380389897243731e+03 3.758117649145414656e+37
9.601228957306537268e+03 3.782708757682538977e+37
9.599078488465107512e+03 3.807560872934108877e+37
9.596928982725527021e+03 3.832998585118116734e+37
9.594780439440944974e+03 3.859322518162780007e+37
9.592632857965083531e+03 3.884528162249671229e+37
9.590486237652250566e+03 3.910664857305167612e+37
9.588340577857325115e+03 3.936599254548501376e+37
9.586195877935771932e+03 3.963242571500779261e+37
9.584052137243626930e+03 3.988706173801975459e+37
9.581909355137500825e+03 4.017069675798799618e+37
9.579767530974582769e+03 4.046694999874395782e+37
9.577626664112633080e+03 4.075562659298196383e+37
9.575486753909990512e+03 4.103009005093516178e+37
9.573347799725563164e+03 4.129281617878040681e+37
9.571209800918835754e+03 4.154904042463916688e+37
9.569072756849862344e+03 4.178523809014727238e+37
9.566936666879264521e+03 4.199521445031629770e+37
9.564801530368245949e+03 4.219700704443807993e+37
9.562667346678568720e+03 4.237702033406956643e+37
9.560534115172567908e+03 4.251969048808147990e+37
9.558401835213153390e+03 4.265078014300402431e+37
9.556270506163793470e+03 4.273789191405304284e+37
9.554140127388534893e+03 4.279053106342590643e+37
9.552010698251982831e+03 4.283760720043886317e+37
9.549882218119309982e+03 4.287564675209156001e+37
9.547754686356256570e+03 4.291400940823875751e+37
9.545628102329132162e+03 4.295064900985748715e+37
9.543502465404802933e+03 4.299534879130165904e+37
9.541377774950702587e+03 4.303479773973805100e+37
9.539254030334828713e+03 4.293045337408856559e+37
9.537131230925739146e+03 4.254790413863513334e+37
9.535009376092551975e+03 4.206091325681602737e+37
9.532888465204956447e+03 4.151191092994285496e+37
9.530768497633192965e+03 4.082946864812681753e+37
9.528649472748062180e+03 4.009548916082521110e+37
9.526531389920930451e+03 3.918693656355830129e+37
9.524414248523715287e+03 3.834248014184627260e+37
9.522298047928899905e+03 3.737428411013834965e+37
9.520182787509520494e+03 3.634159304275881085e+37
9.518068466639169856e+03 3.519898695610482042e+37
9.515955084691999218e+03 3.408497850734051601e+37
