# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 3.503047708890964521e+37
9.997667210984103804e+03 3.511604613925575384e+37
9.995335510095288555e+03 3.520302182302381163e+37
9.993004896572398138e+03 3.529170648348875982e+37
9.990675369654989481e+03 3.538358058201511666e+37
9.988346928583318004e+03 3.546759834421367994e+37
9.986019572598363084e+03 3.527531917773329114e+37
9.983693300941797133e+03 3.486531513684226328e+37
9.981368112856000153e+03 3.431640946122478685e+37
9.979044007584074279e+03 3.377886422458544505e+37
9.976720984369805592e+03 3.317787020547240692e+37
9.974399042457691394e+03 3.252539761677429102e+37
9.972078181092938394e+03 3.185592470736488547e+37
9.969758399521451793e+03 3.112776919523128035e+37
9.967439696989833465e+03 3.035032114013345817e+37
9.965122072745391051e+03 2.964577585748805725e+37
9.962805526036134324e+03 2.877720704789459210e+37
9.960490056110758815e+03 2.801626023309978227e+37
9.958175662218682191e+03 2.724620553778755514e+37
9.955862343609996969e+03 2.652216123286789859e+37
9.953550099535501431e+03 2.596686943186749535e+37
9.951238929246690532e+03 2.542129774321667722e+37
9.948928831995755900e+03 2.488633698120510071e+37
9.946619807035574922e+03 2.445306201375606000e+37
9.944311853619728936e+03 2.398882182089144459e+37
9.942004971002486855e+03 2.358186290433912988e+37
9.939699158438805171e+03 2.325145609416975233e+37
9.937394415184338868e+03 2.295320179913627964e+37
9.935090740495432328e+03 2.266744715710388595e+37
9.932788133629108415e+03 2.240121686002786732e+37
9.930486593843097580e+03 2.215005406227190091e+37
9.928186120395803300e+03 2.192842561343160826e+37
9.925886712546320268e+03 2.173920627340070690e+37
9.923588369554430756e+03 2.156731527868132432e+37
9.921291090680602792e+03 2.138978022453929367e+37
9.918994875185979254e+03 2.121109178785446249e+37
9.916699722332408783e+03 2.105812324478355872e+37
9.914405631382398496e+03 2.090483369347797483e+37
9.912112601599152185e+03 2.079800177619628425e+37
9.909820632246555761e+03 2.071065566737031215e+37
9.907529722589168159e+03 2.063634100551948835e+37
9.905239871892230440e+03 2.059948484751162816e+37
9.902951079421667600e+03 2.056735123408975213e+37
9.900663344444077666e+03 2.055752543196337593e+37
9.898376666226738962e+03 2.058733566857557143e+37
9.896091044037604661e+03 2.063334477317235622e+37
9.893806477145308236e+03 2.069684526789440604e+37
9.891522964819148910e+03 2.076094211854470329e+37
9.889240506329115306e+03 2.084309321911594819e+37
9.886959100945854516e+03 2.094751440029097709e+37
9.884678747940692119e+03 2.106709312698573586e+37
9.882399446585630358e+03 2.119738985900617697e+37
9.880121196153340861e+03 2.132497451335712417e+37
9.877843995917157372e+03 2.145714182307987314e+37
9.875567845151095753e+03 2.158941181719115497e+37
9.873292743129835799e+03 2.172172901845296573e+37
9.871018689128717597e+03 2.185471836122486710e+37
9.868745682423765174e+03 2.198421031801124952e+37
9.866473722291653758e+03 2.211027180106435504e+37
9.864202808009733417e+03 2.222996777677192722e+37
9.861932938856016335e+03 2.234278157642858616e+37
9.859664114109178627e+03 2.244456648302550046e+37
9.857396333048563974e+03 2.253711431678908257e+37
9.855129594954172717e+03 2.262536382174968964e+37
9.852863899106672761e+03 2.271339877448781103e+37
9.850599244787390489e+03 2.279509174355789072e+37
9.848335631278314395e+03 2.286890415780916007e+37
9.846073057862089627e+03 2.293185282935108550e+37
9.843811523822023446e+03 2.298301624209058208e+37
9.841551028442083407e+03 2.303726208549645996e+37
9.839291571006888262e+03 2.309397331039498131e+37
9.837033150801717056e+03 2.312800392948491148e+37
9.834775767112510948e+03 2.312913443407239892e+37
9.832519419225853198e+03 2.304068374017746716e+37
9.830264106428990999e+03 2.289735172479119598e+37
9.828009828009828198e+03 2.273327928249728327e+37
9.825756583256910744e+03 2.251510605935579610e+37
9.823504371459444883e+03 2.223155667194376986e+37
9.821253191907286237e+03 2.190545703727880475e+37
9.819003043890945264e+03 2.153138322715395620e+37
9.816753926701569071e+03 2.110251948779015811e+37
9.814505839630974151e+03 2.062020807291744709e+37
9.812258781971610006e+03 2.011600878031756201e+37
9.810012753016577335e+03 1.969645054581423023e+37
9.807767752059631675e+03 1.943626422845615168e+37
9.805523778395163390e+03 1.927981458571980744e+37
9.803280831318212222e+03 1.918746910440056365e+37
9.801038910124472750e+03 1.906719797370907827e+37
9.798798014110270742e+03 1.896735336232386673e+37
9.796558142572575889e+03 1.884280785686437953e+37
9.794319294809010898e+03 1.867744331323244954e+37
9.792081470117831486e+03 1.851519843393989344e+37
9.789844667797937291e+03 1.835369918956317064e+37
9.787608887148870053e+03 1.814888539336387855e+37
9.785374127470808162e+03 1.797511513339904844e+37
9.783140388064568469e+03 1.772345968989143724e+37
9.780907668231611751e+03 1.744871028746310509e+37
9.778675967274031791e+03 1.718976277042880069e+37
9.776445284494557200e+03 1.706507158610860565e+37
9.774215619196560510e+03 1.703176747251165161e+37
9.771986970684039989e+03 1.702842268536717774e+37
9.769759338261632365e+03 1.709002658254030164e+37
9.767532721234616474e+03 1.719037873707273025e+37
9.765307118908889606e+03 1.727134278510690762e+37
9.763082530590991155e+03 1.733190973084756463e+37
9.760858955588091703e+03 1.742438126264264894e+37
9.758636393207989386e+03 1.753794746642849775e+37
9.756414842759113526e+03 1.768916674395292784e+37
9.754194303550526456e+03 1.787701827134467084e+37
9.751974774891916240e+03 1.804102760756388920e+37
9.749756256093596676e+03 1.817071127924185216e+37
9.747538746466518205e+03 1.827727000240386168e+37
9.745322245322246090e+03 1.839814646154638790e+37
9.743106751972978600e+03 1.852371881425625823e+37
9.740892265731541556e+03 1.865041864916986306e+37
9.738678785911377418e+03 1.873707733336032663e+37
9.736466311826559831e+03 1.883758517510788598e+37
9.734254842791784540e+03 1.892802541080949797e+37
9.732044378122365742e+03 1.901807448318333621e+37
9.729834917134237912e+03 1.908173330221904904e+37
9.727626459143968532e+03 1.915173129276697927e+37
9.725419003468732626e+03 1.923631146687513381e+37
9.723212549426329133e+03 1.931345618364019734e+37
9.721007096335180904e+03 1.939890530954911699e+37
9.718802643514320152e+03 1.945532839986392099e+37
9.716599190283399366e+03 1.950367561883804819e+37
9.714396735962696766e+03 1.956825239223886622e+37
9.712195279873094478e+03 1.964607166542543630e+37
9.709994821336094901e+03 1.971724708185194286e+37
9.707795359673818893e+03 1.974735959652625857e+37
9.705596894208994854e+03 1.978604298872441211e+37
9.703399424264966001e+03 1.983084719267395255e+37
9.701202949165697646e+03 1.988605438781640170e+37
9.699007468235751730e+03 1.993310422113794924e+37
9.696812980800310470e+03 1.996972792752251869e+37
9.694619486185167261e+03 2.001586497174356637e+37
9.692426983716724862e+03 2.004931611161214266e+37
9.690235472721986298e+03 2.008026033694039883e+37
9.688044952528580325e+03 2.011871965006062600e+37
9.685855422464728690e+03 2.016090960914416928e+37
9.683666881859262503e+03 2.020517151265539619e+37
9.681479330041629510e+03 2.024329942200679721e+37
9.679292766341874085e+03 2.028336736995941765e+37
9.677107190090642689e+03 2.031581205800777677e+37
9.674922600619194782e+03 2.035060414679050786e+37
9.672738997259391908e+03 2.039400751056031941e+37
9.670556379343692242e+03 2.043356719494994205e+37
9.668374746205161500e+03 2.047567095981993476e+37
9.666194097177471122e+03 2.051578311786308284e+37
9.664014431594883717e+03 2.055283079896606449e+37
9.661835748792271261e+03 2.059005158649943153e+37
9.659658048105096896e+03 2.063427476417293474e+37
9.657481328869431309e+03 2.068555826203558705e+37
9.655305590421936358e+03 2.074369413264960938e+37
9.653130832099877807e+03 2.079491113000742467e+37
9.650957053241112590e+03 2.083697148601647615e+37
9.648784253184099725e+03 2.088574724536683624e+37
9.646612431267887587e+03 2.094152697182241790e+37
9.644441586832122994e+03 2.100585895290104807e+37
9.642271719217049395e+03 2.107847592855239954e+37
9.640102827763495952e+03 2.115927631712654131e+37
9.637934911812893915e+03 2.124978797702648243e+37
9.635767970707265704e+03 2.134883841657969788e+37
9.633602003789217633e+03 2.145417523458225995e+37
9.631437010401950829e+03 2.157085600503851476e+37
9.629272989889263044e+03 2.169694637148489949e+37
9.627109941595532291e+03 2.183687552215283917e+37
9.624947864865731390e+03 2.198457493228479475e+37
9.622786759045420695e+03 2.213152951081075308e+37
9.620626623480744456e+03 2.228225426535663575e+37
9.618467457518434458e+03 2.244090512051020634e+37
9.616309260505819111e+03 2.260799589705360892e+37
9.614152031790797992e+03 2.277725288896684779e+37
9.611995770721860026e+03 2.295894842465269020e+37
9.609840476648087133e+03 2.315008458067494468e+37
9.607686148919137850e+03 2.334277712716242177e+37
9.605532786885245514e+03 2.354621178884233692e+37
9.603380389897243731e+03 2.377579667627149200e+37
