# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 9.794357019530698006e+36
9.997667210984103804e+03 9.799689569282933241e+36
9.995335510095288555e+03 9.805283525798167181e+36
9.993004896572398138e+03 9.810912361551579244e+36
9.990675369654989481e+03 9.806525659044939370e+36
9.988346928583318004e+03 9.780911074376045490e+36
9.986019572598363084e+03 9.744865074772454521e+36
9.983693300941797133e+03 9.712144974970773173e+36
9.981368112856000153e+03 9.678250672735266781e+36
9.979044007584074279e+03 9.652275118460889296e+36
9.976720984369805592e+03 9.659978977138035778e+36
9.974399042457691394e+03 9.671137068090630676e+36
9.972078181092938394e+03 9.682639972667884159e+36
9.969758399521451793e+03 9.686312265390512025e+36
9.967439696989833465e+03 9.687502535449042953e+36
9.965122072745391051e+03 9.690593887251472744e+36
9.962805526036134324e+03 9.693567531980667441e+36
9.960490056110758815e+03 9.698819739829699743e+36
9.958175662218682191e+03 9.702071763403563168e+36
9.955862343609996969e+03 9.705018422594400598e+36
9.953550099535501431e+03 9.706147366114279890e+36
9.951238929246690532e+03 9.709223129605324864e+36
9.948928831995755900e+03 9.712371696285762760e+36
9.946619807035574922e+03 9.712934050001315448e+36
9.944311853619728936e+03 9.712875301564505161e+36
9.942004971002486855e+03 9.713902823045097227e+36
9.939699158438805171e+03 9.714445036239377042e+36
9.937394415184338868e+03 9.714531115806367144e+36
9.935090740495432328e+03 9.718428977891415144e+36
9.932788133629108415e+03 9.721861031251369309e+36
9.930486593843097580e+03 9.725680139236766008e+36
9.928186120395803300e+03 9.728437574773109772e+36
9.925886712546320268e+03 9.730846088747161260e+36
9.923588369554430756e+03 9.731718933739168443e+36
9.921291090680602792e+03 9.731307785433117433e+36
9.918994875185979254e+03 9.731435943134854871e+36
9.916699722332408783e+03 9.731738407119426517e+36
9.914405631382398496e+03 9.731220130056254378e+36
9.912112601599152185e+03 9.733333698053121823e+36
9.909820632246555761e+03 9.738229897430003788e+36
9.907529722589168159e+03 9.744049345978633990e+36
9.905239871892230440e+03 9.749297019952160683e+36
9.902951079421667600e+03 9.754057713957667123e+36
9.900663344444077666e+03 9.758200519119897115e+36
9.898376666226738962e+03 9.763259077561292201e+36
9.896091044037604661e+03 9.768036333093896817e+36
9.893806477145308236e+03 9.772459297428146307e+36
9.891522964819148910e+03 9.776942185777024193e+36
9.889240506329115306e+03 9.782359846335656852e+36
9.886959100945854516e+03 9.788711767645254628e+36
9.884678747940692119e+03 9.796061813244817216e+36
9.882399446585630358e+03 9.800689159623045246e+36
9.880121196153340861e+03 9.803332728242327938e+36
9.877843995917157372e+03 9.802470669790167424e+36
9.875567845151095753e+03 9.800799435125659145e+36
9.873292743129835799e+03 9.798893501117636054e+36
9.871018689128717597e+03 9.801798540792441345e+36
9.868745682423765174e+03 9.808345912487931014e+36
9.866473722291653758e+03 9.818890758502190530e+36
9.864202808009733417e+03 9.828921318223877750e+36
9.861932938856016335e+03 9.838277935232793944e+36
9.859664114109178627e+03 9.845457038712537751e+36
9.857396333048563974e+03 9.853105322317894413e+36
9.855129594954172717e+03 9.860368170321168193e+36
9.852863899106672761e+03 9.866007269469309092e+36
9.850599244787390489e+03 9.871488612183890763e+36
9.848335631278314395e+03 9.876799354920268025e+36
9.846073057862089627e+03 9.880898262428378977e+36
9.843811523822023446e+03 9.885406315030037223e+36
9.841551028442083407e+03 9.889896727019820292e+36
9.839291571006888262e+03 9.893827480083933875e+36
9.837033150801717056e+03 9.896230177195621306e+36
9.834775767112510948e+03 9.897437479047373222e+36
9.832519419225853198e+03 9.898385559592515114e+36
9.830264106428990999e+03 9.898170295428407861e+36
9.828009828009828198e+03 9.895167682716493557e+36
9.825756583256910744e+03 9.891215197935688588e+36
9.823504371459444883e+03 9.890059679169481550e+36
9.821253191907286237e+03 9.891341936639480438e+36
9.819003043890945264e+03 9.894836406959001970e+36
9.816753926701569071e+03 9.897781626979040965e+36
9.814505839630974151e+03 9.900852240262419117e+36
9.812258781971610006e+03 9.903571345568545457e+36
9.810012753016577335e+03 9.907863650509305294e+36
9.807767752059631675e+03 9.912736290602947231e+36
9.805523778395163390e+03 9.917720149599825900e+36
9.803280831318212222e+03 9.921150660421599897e+36
9.801038910124472750e+03 9.922663513634138843e+36
9.798798014110270742e+03 9.922024588997333043e+36
9.796558142572575889e+03 9.921974379006656929e+36
9.794319294809010898e+03 9.921108892080067630e+36
9.792081470117831486e+03 9.921287344644655557e+36
9.789844667797937291e+03 9.922782673437236440e+36
9.787608887148870053e+03 9.927420092320349499e+36
9.785374127470808162e+03 9.932230699619350657e+36
9.783140388064568469e+03 9.937834637777256712e+36
9.780907668231611751e+03 9.943412330238929741e+36
9.778675967274031791e+03 9.948675189967893334e+36
9.776445284494557200e+03 9.953113937880235432e+36
9.774215619196560510e+03 9.958716924704437630e+36
9.771986970684039989e+03 9.965550690485905125e+36
9.769759338261632365e+03 9.972271002595713792e+36
9.767532721234616474e+03 9.978806578275666653e+36
9.765307118908889606e+03 9.987435092692481618e+36
9.763082530590991155e+03 9.997643708062016878e+36
9.760858955588091703e+03 1.000629462968088405e+37
