# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 8.475792000864546324e+36
9.997667210984103804e+03 8.481370173018434771e+36
9.995335510095288555e+03 8.486129927480594544e+36
9.993004896572398138e+03 8.491045093502989033e+36
9.990675369654989481e+03 8.456077881694820931e+36
9.988346928583318004e+03 8.389324900084490850e+36
9.986019572598363084e+03 8.321212676808011808e+36
9.983693300941797133e+03 8.267401685765407362e+36
9.981368112856000153e+03 8.270096850611963937e+36
9.979044007584074279e+03 8.276884632537239938e+36
9.976720984369805592e+03 8.273952487064052866e+36
9.974399042457691394e+03 8.264767376536846629e+36
9.972078181092938394e+03 8.251937078808728562e+36
9.969758399521451793e+03 8.249975084258130444e+36
9.967439696989833465e+03 8.253274512238270105e+36
9.965122072745391051e+03 8.254896688316672968e+36
9.962805526036134324e+03 8.252800321023183388e+36
9.960490056110758815e+03 8.249872328127644449e+36
9.958175662218682191e+03 8.247302459673113740e+36
9.955862343609996969e+03 8.244381340204516306e+36
9.953550099535501431e+03 8.243024609812154151e+36
9.951238929246690532e+03 8.240694789457751188e+36
9.948928831995755900e+03 8.238204944201826531e+36
9.946619807035574922e+03 8.232347056902840111e+36
9.944311853619728936e+03 8.227769388563745508e+36
9.942004971002486855e+03 8.225128268669108915e+36
9.939699158438805171e+03 8.224807492184349077e+36
9.937394415184338868e+03 8.223035505774497675e+36
9.935090740495432328e+03 8.223771171059176288e+36
9.932788133629108415e+03 8.224191214480047121e+36
9.930486593843097580e+03 8.224701119539054620e+36
9.928186120395803300e+03 8.227157199099200016e+36
9.925886712546320268e+03 8.229666490832380834e+36
9.923588369554430756e+03 8.229518814259491343e+36
9.921291090680602792e+03 8.228304494004228359e+36
9.918994875185979254e+03 8.228324324284435815e+36
9.916699722332408783e+03 8.229797063504275727e+36
9.914405631382398496e+03 8.234329501027103750e+36
9.912112601599152185e+03 8.238266558050619749e+36
9.909820632246555761e+03 8.244319645527410304e+36
9.907529722589168159e+03 8.251081080898761407e+36
9.905239871892230440e+03 8.256590628118972335e+36
9.902951079421667600e+03 8.262668789709716599e+36
9.900663344444077666e+03 8.268634200708996175e+36
9.898376666226738962e+03 8.274621660349283800e+36
9.896091044037604661e+03 8.280368761552178934e+36
9.893806477145308236e+03 8.285109492116100470e+36
9.891522964819148910e+03 8.288933019176493170e+36
9.889240506329115306e+03 8.292837570710021737e+36
9.886959100945854516e+03 8.296439679073333114e+36
9.884678747940692119e+03 8.297808892057820255e+36
9.882399446585630358e+03 8.296907116263503156e+36
9.880121196153340861e+03 8.292016199176280057e+36
9.877843995917157372e+03 8.287704961262597520e+36
9.875567845151095753e+03 8.287917263568929190e+36
9.873292743129835799e+03 8.293769826007358981e+36
9.871018689128717597e+03 8.301149075470622721e+36
9.868745682423765174e+03 8.310721577966417267e+36
9.866473722291653758e+03 8.319597382561951943e+36
9.864202808009733417e+03 8.326743295021476132e+36
9.861932938856016335e+03 8.335853654999223530e+36
9.859664114109178627e+03 8.346515643801169923e+36
9.857396333048563974e+03 8.357435998703389506e+36
9.855129594954172717e+03 8.367649555354154224e+36
9.852863899106672761e+03 8.376776440885416835e+36
9.850599244787390489e+03 8.385172493442045285e+36
9.848335631278314395e+03 8.391657398345455007e+36
9.846073057862089627e+03 8.395798488730800925e+36
9.843811523822023446e+03 8.400229244315870578e+36
9.841551028442083407e+03 8.402168023355002769e+36
9.839291571006888262e+03 8.406459583996167126e+36
9.837033150801717056e+03 8.406112800668074443e+36
9.834775767112510948e+03 8.398094951880191275e+36
