# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 7.209255367920112221e+36
9.997667210984103804e+03 7.213380083834121507e+36
9.995335510095288555e+03 7.217731286315130179e+36
9.993004896572398138e+03 7.218933492835251856e+36
9.990675369654989481e+03 7.169818396635521606e+36
9.988346928583318004e+03 7.117563363644811355e+36
9.986019572598363084e+03 7.066521932289001123e+36
9.983693300941797133e+03 7.059538236733437280e+36
9.981368112856000153e+03 7.054529311644363704e+36
9.979044007584074279e+03 7.057883553723090088e+36
9.976720984369805592e+03 7.055580074481683172e+36
9.974399042457691394e+03 7.055008670669321559e+36
9.972078181092938394e+03 7.051069491793296958e+36
9.969758399521451793e+03 7.046231103868535873e+36
9.967439696989833465e+03 7.048314206855776895e+36
9.965122072745391051e+03 7.049292326339489568e+36
9.962805526036134324e+03 7.048987833401361192e+36
9.960490056110758815e+03 7.049051407407946833e+36
9.958175662218682191e+03 7.047604995195688250e+36
9.955862343609996969e+03 7.045651281472974971e+36
9.953550099535501431e+03 7.045635451174788265e+36
9.951238929246690532e+03 7.044917657686866873e+36
9.948928831995755900e+03 7.040846162851739029e+36
9.946619807035574922e+03 7.038997048252740119e+36
9.944311853619728936e+03 7.035133447825363255e+36
9.942004971002486855e+03 7.037049648129677639e+36
9.939699158438805171e+03 7.037210560285610671e+36
9.937394415184338868e+03 7.038893922803284875e+36
9.935090740495432328e+03 7.040956829699876233e+36
9.932788133629108415e+03 7.042653975311874977e+36
9.930486593843097580e+03 7.044566341420338388e+36
9.928186120395803300e+03 7.046232627911121447e+36
9.925886712546320268e+03 7.046044785981170838e+36
9.923588369554430756e+03 7.043858949982932931e+36
9.921291090680602792e+03 7.041539581708679505e+36
9.918994875185979254e+03 7.039578725341397781e+36
9.916699722332408783e+03 7.043040308604534673e+36
9.914405631382398496e+03 7.047304576094870672e+36
9.912112601599152185e+03 7.051756882506858182e+36
9.909820632246555761e+03 7.055662651658182306e+36
9.907529722589168159e+03 7.059885736445098001e+36
9.905239871892230440e+03 7.063224391552267025e+36
9.902951079421667600e+03 7.067469016421160808e+36
9.900663344444077666e+03 7.072798566525380891e+36
9.898376666226738962e+03 7.078809363856609675e+36
9.896091044037604661e+03 7.084479665203466305e+36
9.893806477145308236e+03 7.090342679262526317e+36
9.891522964819148910e+03 7.096372809638738868e+36
9.889240506329115306e+03 7.101473812219634712e+36
9.886959100945854516e+03 7.106131710315894355e+36
9.884678747940692119e+03 7.106841111074725285e+36
9.882399446585630358e+03 7.104639473694102684e+36
9.880121196153340861e+03 7.099771955385476386e+36
9.877843995917157372e+03 7.096447477702114697e+36
9.875567845151095753e+03 7.101310918171426484e+36
9.873292743129835799e+03 7.108680340232749151e+36
9.871018689128717597e+03 7.115407224825781812e+36
9.868745682423765174e+03 7.122746665513268527e+36
9.866473722291653758e+03 7.130188258897933646e+36
9.864202808009733417e+03 7.136516545270985100e+36
9.861932938856016335e+03 7.145044832901080383e+36
9.859664114109178627e+03 7.153339960368950350e+36
9.857396333048563974e+03 7.162079583747244407e+36
9.855129594954172717e+03 7.169416089092342069e+36
9.852863899106672761e+03 7.175586819522118115e+36
9.850599244787390489e+03 7.181796293717206218e+36
9.848335631278314395e+03 7.184867718255367584e+36
9.846073057862089627e+03 7.186610906050189816e+36
9.843811523822023446e+03 7.188976218841339722e+36
9.841551028442083407e+03 7.190442845846910069e+36
9.839291571006888262e+03 7.193970580289873709e+36
9.837033150801717056e+03 7.193137810147660780e+36
9.834775767112510948e+03 7.186673301867666952e+36
9.832519419225853198e+03 7.176795626531977674e+36
9.830264106428990999e+03 7.166627998385020400e+36
9.828009828009828198e+03 7.163685659755632041e+36
9.825756583256910744e+03 7.164408424623698266e+36
9.823504371459444883e+03 7.166144555137874713e+36
9.821253191907286237e+03 7.170577031999611025e+36
9.819003043890945264e+03 7.175327070016479410e+36
9.816753926701569071e+03 7.176537711965806245e+36
9.814505839630974151e+03 7.181073303030068114e+36
9.812258781971610006e+03 7.183666366779626823e+36
9.810012753016577335e+03 7.186797078488700235e+36
9.807767752059631675e+03 7.189694364292506423e+36
9.805523778395163390e+03 7.188725704146074516e+36
9.803280831318212222e+03 7.183497119090611061e+36
9.801038910124472750e+03 7.175481666474388722e+36
9.798798014110270742e+03 7.167025157925323384e+36
9.796558142572575889e+03 7.169718765848716256e+36
9.794319294809010898e+03 7.171658486349623441e+36
9.792081470117831486e+03 7.174184585090865925e+36
9.789844667797937291e+03 7.177191951810369961e+36
9.787608887148870053e+03 7.182749124661872760e+36
9.785374127470808162e+03 7.186268760849450662e+36
9.783140388064568469e+03 7.191396958669912653e+36
9.780907668231611751e+03 7.197228491610719310e+36
9.778675967274031791e+03 7.201442508947138662e+36
9.776445284494557200e+03 7.204660784383675597e+36
9.774215619196560510e+03 7.209518248436134403e+36
9.771986970684039989e+03 7.215038639022574204e+36
9.769759338261632365e+03 7.221190806141115464e+36
9.767532721234616474e+03 7.228071456682890964e+36
9.765307118908889606e+03 7.235744198195630278e+36
