# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 7.183845013650567924e+36
9.997667210984103804e+03 7.187301625746512738e+36
9.995335510095288555e+03 7.190797335848109341e+36
9.993004896572398138e+03 7.192564600110786934e+36
9.990675369654989481e+03 7.174277972105961870e+36
9.988346928583318004e+03 7.155906802973280889e+36
9.986019572598363084e+03 7.138203634780201053e+36
9.983693300941797133e+03 7.137810138515985567e+36
9.981368112856000153e+03 7.139948586475323555e+36
9.979044007584074279e+03 7.145479940888851905e+36
9.976720984369805592e+03 7.148094765467400499e+36
9.974399042457691394e+03 7.150477423106431026e+36
9.972078181092938394e+03 7.151737607561518739e+36
9.969758399521451793e+03 7.153284909038359074e+36
9.967439696989833465e+03 7.157211061172619063e+36
9.965122072745391051e+03 7.159972609210518157e+36
9.962805526036134324e+03 7.162366035097925050e+36
9.960490056110758815e+03 7.165714247132222163e+36
9.958175662218682191e+03 7.168755048398790514e+36
9.955862343609996969e+03 7.171234483172491801e+36
9.953550099535501431e+03 7.173739101421039191e+36
9.951238929246690532e+03 7.175515286018691348e+36
9.948928831995755900e+03 7.175650436213371593e+36
9.946619807035574922e+03 7.176685867763421664e+36
9.944311853619728936e+03 7.177329646730124935e+36
9.942004971002486855e+03 7.180416628370284181e+36
9.939699158438805171e+03 7.183004996576939992e+36
9.937394415184338868e+03 7.185893128643005360e+36
9.935090740495432328e+03 7.188694434267033969e+36
9.932788133629108415e+03 7.190755907573084444e+36
9.930486593843097580e+03 7.192259900255871474e+36
9.928186120395803300e+03 7.194005134455279996e+36
9.925886712546320268e+03 7.195156004254472510e+36
9.923588369554430756e+03 7.195309450368491235e+36
9.921291090680602792e+03 7.195892608207734887e+36
9.918994875185979254e+03 7.196912920276794858e+36
9.916699722332408783e+03 7.200150800588412307e+36
9.914405631382398496e+03 7.203728952868610534e+36
9.912112601599152185e+03 7.207849969581482300e+36
9.909820632246555761e+03 7.212233641985259801e+36
9.907529722589168159e+03 7.216579180006669171e+36
9.905239871892230440e+03 7.220199858985833201e+36
9.902951079421667600e+03 7.223867076191060078e+36
9.900663344444077666e+03 7.227998199985751684e+36
9.898376666226738962e+03 7.232597833247809803e+36
9.896091044037604661e+03 7.237352720962505546e+36
9.893806477145308236e+03 7.242230870774625528e+36
9.891522964819148910e+03 7.246519684547765988e+36
9.889240506329115306e+03 7.250210632748231195e+36
9.886959100945854516e+03 7.253448017070373427e+36
9.884678747940692119e+03 7.255271507171895163e+36
9.882399446585630358e+03 7.256590328106994661e+36
9.880121196153340861e+03 7.256570937795214889e+36
9.877843995917157372e+03 7.256046343904176321e+36
9.875567845151095753e+03 7.258065798722833395e+36
9.873292743129835799e+03 7.260932072061457265e+36
9.871018689128717597e+03 7.263878821780378931e+36
9.868745682423765174e+03 7.266936938136438833e+36
9.866473722291653758e+03 7.270249207248023567e+36
9.864202808009733417e+03 7.273927097176708609e+36
9.861932938856016335e+03 7.278299530416871685e+36
9.859664114109178627e+03 7.282596494411449667e+36
9.857396333048563974e+03 7.287357596476259019e+36
9.855129594954172717e+03 7.291651835460606311e+36
9.852863899106672761e+03 7.295177712100356864e+36
9.850599244787390489e+03 7.298330897269566278e+36
9.848335631278314395e+03 7.299958326815677127e+36
9.846073057862089627e+03 7.301315325244630699e+36
9.843811523822023446e+03 7.303334353529014023e+36
9.841551028442083407e+03 7.305385584885385773e+36
9.839291571006888262e+03 7.308678232452458130e+36
9.837033150801717056e+03 7.310236953011158684e+36
9.834775767112510948e+03 7.309020730935275591e+36
9.832519419225853198e+03 7.306827054926670287e+36
9.830264106428990999e+03 7.305702583857592680e+36
9.828009828009828198e+03 7.307994984884900112e+36
9.825756583256910744e+03 7.310865657345004532e+36
9.823504371459444883e+03 7.312815642778400097e+36
9.821253191907286237e+03 7.315379295327969769e+36
9.819003043890945264e+03 7.318315929891388012e+36
9.816753926701569071e+03 7.320956174404348598e+36
9.814505839630974151e+03 7.324352127385161525e+36
9.812258781971610006e+03 7.325534534338474893e+36
9.810012753016577335e+03 7.326483997501478104e+36
9.807767752059631675e+03 7.327541119450571748e+36
9.805523778395163390e+03 7.328009327106880228e+36
9.803280831318212222e+03 7.328025378798574244e+36
9.801038910124472750e+03 7.327797187782289052e+36
9.798798014110270742e+03 7.327159353384310436e+36
9.796558142572575889e+03 7.330037571351331343e+36
9.794319294809010898e+03 7.332610725433747037e+36
9.792081470117831486e+03 7.335552960436658664e+36
9.789844667797937291e+03 7.338843971026664787e+36
9.787608887148870053e+03 7.343000812024069241e+36
9.785374127470808162e+03 7.346210731966872500e+36
9.783140388064568469e+03 7.350128310851412346e+36
9.780907668231611751e+03 7.354682560682285634e+36
9.778675967274031791e+03 7.358664646721992368e+36
9.776445284494557200e+03 7.361855052672371154e+36
9.774215619196560510e+03 7.364997021383268295e+36
9.771986970684039989e+03 7.367549353417278232e+36
9.769759338261632365e+03 7.369989680504765685e+36
9.767532721234616474e+03 7.372997214075888017e+36
9.765307118908889606e+03 7.376476018216909628e+36
9.763082530590991155e+03 7.380426307754069084e+36
9.760858955588091703e+03 7.385073569090497595e+36
9.758636393207989386e+03 7.390198899898535959e+36
9.756414842759113526e+03 7.396346222895724796e+36
9.754194303550526456e+03 7.401870567036791787e+36
9.751974774891916240e+03 7.405963063191603433e+36
9.749756256093596676e+03 7.408832505259676023e+36
9.747538746466518205e+03 7.411323218798852688e+36
9.745322245322246090e+03 7.413885386046998043e+36
9.743106751972978600e+03 7.415382976905725480e+36
9.740892265731541556e+03 7.411093152729897882e+36
9.738678785911377418e+03 7.405547900531963201e+36
9.736466311826559831e+03 7.399042467749334185e+36
9.734254842791784540e+03 7.397084400795171110e+36
9.732044378122365742e+03 7.398028501460034522e+36
9.729834917134237912e+03 7.400406648756503541e+36
9.727626459143968532e+03 7.402734154519395802e+36
9.725419003468732626e+03 7.406770170692912650e+36
9.723212549426329133e+03 7.410580165643187137e+36
9.721007096335180904e+03 7.413517832903683853e+36
9.718802643514320152e+03 7.416992074623175668e+36
9.716599190283399366e+03 7.418967555319640990e+36
9.714396735962696766e+03 7.422224547034345502e+36
9.712195279873094478e+03 7.425786765092684060e+36
9.709994821336094901e+03 7.427935584763984939e+36
9.707795359673818893e+03 7.429906471097999999e+36
9.705596894208994854e+03 7.432855222941276447e+36
9.703399424264966001e+03 7.435870840436138931e+36
9.701202949165697646e+03 7.440255324263833563e+36
9.699007468235751730e+03 7.445056894454226593e+36
9.696812980800310470e+03 7.449127518762481321e+36
9.694619486185167261e+03 7.452325769355636446e+36
9.692426983716724862e+03 7.455079059655576618e+36
9.690235472721986298e+03 7.458474164192610197e+36
9.688044952528580325e+03 7.461277713099331835e+36
9.685855422464728690e+03 7.463408707261586172e+36
9.683666881859262503e+03 7.463745906814127603e+36
9.681479330041629510e+03 7.463457675646422267e+36
9.679292766341874085e+03 7.463066448198363495e+36
9.677107190090642689e+03 7.464491105020408824e+36
9.674922600619194782e+03 7.466448950213534610e+36
9.672738997259391908e+03 7.469444524206431754e+36
9.670556379343692242e+03 7.472865373795850472e+36
9.668374746205161500e+03 7.476907945646171865e+36
9.666194097177471122e+03 7.480573398651380497e+36
9.664014431594883717e+03 7.484464287925561878e+36
9.661835748792271261e+03 7.488115856796503807e+36
9.659658048105096896e+03 7.490825132646755981e+36
9.657481328869431309e+03 7.493253281720988534e+36
9.655305590421936358e+03 7.495670917517677555e+36
9.653130832099877807e+03 7.495940899509955765e+36
9.650957053241112590e+03 7.490763316516899724e+36
9.648784253184099725e+03 7.488162952859643159e+36
9.646612431267887587e+03 7.485759350133530118e+36
9.644441586832122994e+03 7.493891988977330449e+36
9.642271719217049395e+03 7.500342959016229675e+36
9.640102827763495952e+03 7.506147453745960554e+36
9.637934911812893915e+03 7.511675094920096982e+36
9.635767970707265704e+03 7.517639306519900666e+36
9.633602003789217633e+03 7.522945934292577521e+36
9.631437010401950829e+03 7.527906527798378329e+36
9.629272989889263044e+03 7.533195905269414186e+36
9.627109941595532291e+03 7.537384343504974200e+36
9.624947864865731390e+03 7.541100872875077776e+36
9.622786759045420695e+03 7.545039480343491175e+36
9.620626623480744456e+03 7.548687424123973573e+36
9.618467457518434458e+03 7.551552304100139907e+36
9.616309260505819111e+03 7.554192152087308800e+36
9.614152031790797992e+03 7.552141335126986386e+36
9.611995770721860026e+03 7.550907570848552417e+36
9.609840476648087133e+03 7.550941442901896980e+36
9.607686148919137850e+03 7.553845432876195482e+36
9.605532786885245514e+03 7.557421503153273623e+36
9.603380389897243731e+03 7.561207991297846463e+36
9.601228957306537268e+03 7.563669298717405538e+36
9.599078488465107512e+03 7.566486008245530551e+36
9.596928982725527021e+03 7.568819419506336694e+36
9.594780439440944974e+03 7.570520802892017839e+36
9.592632857965083531e+03 7.573547062205420227e+36
9.590486237652250566e+03 7.576801813377355828e+36
9.588340577857325115e+03 7.581113805785692996e+36
9.586195877935771932e+03 7.585263826363297102e+36
9.584052137243626930e+03 7.589670949481472890e+36
9.581909355137500825e+03 7.594848368393879589e+36
9.579767530974582769e+03 7.600348658784571173e+36
9.577626664112633080e+03 7.605423854673760565e+36
