# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 7.230262123165368313e+36
9.997667210984103804e+03 7.233282781847901055e+36
9.995335510095288555e+03 7.235781749505479682e+36
9.993004896572398138e+03 7.237618298134726763e+36
9.990675369654989481e+03 7.228488646023166896e+36
9.988346928583318004e+03 7.218785004139712083e+36
9.986019572598363084e+03 7.209095952091671654e+36
9.983693300941797133e+03 7.208773145269732400e+36
9.981368112856000153e+03 7.209550063449032490e+36
9.979044007584074279e+03 7.212205818514420331e+36
9.976720984369805592e+03 7.213957588070935025e+36
9.974399042457691394e+03 7.216487627150080326e+36
9.972078181092938394e+03 7.218642787970211850e+36
9.969758399521451793e+03 7.219850829294939440e+36
9.967439696989833465e+03 7.222106769504001123e+36
9.965122072745391051e+03 7.224656778209885066e+36
9.962805526036134324e+03 7.227398411184036426e+36
9.960490056110758815e+03 7.229981368760115404e+36
9.958175662218682191e+03 7.231884778472586673e+36
9.955862343609996969e+03 7.233670437783204854e+36
9.953550099535501431e+03 7.236103143636546781e+36
9.951238929246690532e+03 7.238401640128762321e+36
9.948928831995755900e+03 7.240153430991637126e+36
9.946619807035574922e+03 7.243406285855229343e+36
9.944311853619728936e+03 7.246599114590376599e+36
9.942004971002486855e+03 7.250613368538254229e+36
9.939699158438805171e+03 7.254253264766352631e+36
9.937394415184338868e+03 7.258003188453026407e+36
9.935090740495432328e+03 7.261547066795432597e+36
9.932788133629108415e+03 7.264708305752029047e+36
9.930486593843097580e+03 7.267736501876525168e+36
9.928186120395803300e+03 7.270687429075237284e+36
9.925886712546320268e+03 7.272909470638844767e+36
9.923588369554430756e+03 7.275026148802450755e+36
9.921291090680602792e+03 7.277288473206279040e+36
9.918994875185979254e+03 7.278858409889899877e+36
9.916699722332408783e+03 7.281364557581041206e+36
9.914405631382398496e+03 7.283398039376307058e+36
9.912112601599152185e+03 7.285881702196997082e+36
9.909820632246555761e+03 7.288933128040163276e+36
9.907529722589168159e+03 7.291946671041176736e+36
9.905239871892230440e+03 7.294215838007121155e+36
9.902951079421667600e+03 7.296006500278902461e+36
9.900663344444077666e+03 7.297748582729571275e+36
9.898376666226738962e+03 7.299740943356999551e+36
9.896091044037604661e+03 7.302107149921657860e+36
9.893806477145308236e+03 7.304713529941498099e+36
9.891522964819148910e+03 7.307424037125978040e+36
9.889240506329115306e+03 7.309986478990745752e+36
9.886959100945854516e+03 7.312382228405031239e+36
9.884678747940692119e+03 7.313913324082862814e+36
9.882399446585630358e+03 7.315442529098427720e+36
9.880121196153340861e+03 7.316316712202894015e+36
9.877843995917157372e+03 7.317284509516389648e+36
9.875567845151095753e+03 7.319651412433613593e+36
9.873292743129835799e+03 7.322702764068216586e+36
9.871018689128717597e+03 7.326012615595974578e+36
9.868745682423765174e+03 7.329666597434540287e+36
9.866473722291653758e+03 7.333440905071797038e+36
9.864202808009733417e+03 7.336502384287370531e+36
9.861932938856016335e+03 7.338999957957029530e+36
9.859664114109178627e+03 7.341068191193426942e+36
9.857396333048563974e+03 7.343743583194051974e+36
9.855129594954172717e+03 7.346671374371317080e+36
9.852863899106672761e+03 7.350206579327337517e+36
9.850599244787390489e+03 7.354216929299034859e+36
9.848335631278314395e+03 7.357465573303519928e+36
9.846073057862089627e+03 7.360438130233637875e+36
9.843811523822023446e+03 7.363692904441278360e+36
9.841551028442083407e+03 7.367008324675829033e+36
9.839291571006888262e+03 7.370090032145429174e+36
9.837033150801717056e+03 7.371581903684307598e+36
9.834775767112510948e+03 7.371714417933715303e+36
9.832519419225853198e+03 7.371734705565892663e+36
9.830264106428990999e+03 7.372053431616254843e+36
9.828009828009828198e+03 7.373702455132510879e+36
9.825756583256910744e+03 7.376024661143048108e+36
9.823504371459444883e+03 7.378948675762932100e+36
9.821253191907286237e+03 7.383086442069246469e+36
9.819003043890945264e+03 7.386711780595458573e+36
9.816753926701569071e+03 7.389095145644465231e+36
9.814505839630974151e+03 7.391504293873336136e+36
9.812258781971610006e+03 7.393212854608402221e+36
9.810012753016577335e+03 7.394951832394262512e+36
9.807767752059631675e+03 7.396140832241961042e+36
9.805523778395163390e+03 7.397072028960089642e+36
9.803280831318212222e+03 7.397643813924885817e+36
9.801038910124472750e+03 7.398502066161345452e+36
9.798798014110270742e+03 7.399365867254786668e+36
9.796558142572575889e+03 7.401578889310469736e+36
9.794319294809010898e+03 7.403641375256055403e+36
9.792081470117831486e+03 7.405905860335428757e+36
9.789844667797937291e+03 7.408614754563522021e+36
9.787608887148870053e+03 7.411604553895110114e+36
9.785374127470808162e+03 7.413835940243967873e+36
9.783140388064568469e+03 7.416344959401384374e+36
9.780907668231611751e+03 7.419213438283673406e+36
9.778675967274031791e+03 7.422908072626243381e+36
9.776445284494557200e+03 7.426723336702077230e+36
9.774215619196560510e+03 7.430450211731654155e+36
9.771986970684039989e+03 7.434139820742955968e+36
9.769759338261632365e+03 7.437924241315461302e+36
9.767532721234616474e+03 7.441992996535893494e+36
9.765307118908889606e+03 7.446195991599872011e+36
9.763082530590991155e+03 7.450571339175271989e+36
9.760858955588091703e+03 7.454702688889660839e+36
9.758636393207989386e+03 7.459066700073572001e+36
9.756414842759113526e+03 7.463744338712593530e+36
9.754194303550526456e+03 7.467940639848317687e+36
9.751974774891916240e+03 7.471204341182179780e+36
9.749756256093596676e+03 7.474301882992177749e+36
9.747538746466518205e+03 7.477219995496527504e+36
9.745322245322246090e+03 7.480295166294536596e+36
9.743106751972978600e+03 7.482425442465332665e+36
9.740892265731541556e+03 7.480014454904519538e+36
9.738678785911377418e+03 7.476423867988882226e+36
9.736466311826559831e+03 7.472272259266246264e+36
9.734254842791784540e+03 7.470436056799725144e+36
9.732044378122365742e+03 7.471532771927794543e+36
9.729834917134237912e+03 7.473887402450607272e+36
9.727626459143968532e+03 7.475241951042504652e+36
9.725419003468732626e+03 7.477228836381433191e+36
9.723212549426329133e+03 7.479432893130948871e+36
9.721007096335180904e+03 7.481806299762444921e+36
9.718802643514320152e+03 7.485458804325411073e+36
9.716599190283399366e+03 7.488504615733290640e+36
9.714396735962696766e+03 7.491733654929920443e+36
9.712195279873094478e+03 7.495188923476235117e+36
9.709994821336094901e+03 7.498211806684471502e+36
9.707795359673818893e+03 7.501415952096334902e+36
9.705596894208994854e+03 7.505483728258840613e+36
9.703399424264966001e+03 7.508877003219142823e+36
9.701202949165697646e+03 7.512478439693053859e+36
9.699007468235751730e+03 7.516364419122137146e+36
9.696812980800310470e+03 7.519686301300446609e+36
9.694619486185167261e+03 7.522724193210325840e+36
9.692426983716724862e+03 7.525806472879494571e+36
9.690235472721986298e+03 7.528936916117891916e+36
9.688044952528580325e+03 7.531897753652883407e+36
9.685855422464728690e+03 7.535116091111013682e+36
9.683666881859262503e+03 7.537816165366290992e+36
9.681479330041629510e+03 7.539956225675675607e+36
9.679292766341874085e+03 7.541744120891587837e+36
9.677107190090642689e+03 7.544589928437966915e+36
9.674922600619194782e+03 7.547619392509938376e+36
9.672738997259391908e+03 7.551315776912151019e+36
9.670556379343692242e+03 7.554958919226003124e+36
9.668374746205161500e+03 7.559468643923359171e+36
9.666194097177471122e+03 7.563699619806702303e+36
9.664014431594883717e+03 7.567234892788421371e+36
9.661835748792271261e+03 7.569922011545109668e+36
9.659658048105096896e+03 7.571669417230543572e+36
9.657481328869431309e+03 7.573351281110535363e+36
9.655305590421936358e+03 7.574644373250642124e+36
9.653130832099877807e+03 7.573540921434496427e+36
9.650957053241112590e+03 7.567984357918512008e+36
9.648784253184099725e+03 7.564869490431325717e+36
9.646612431267887587e+03 7.561353808819510019e+36
9.644441586832122994e+03 7.566413380740539850e+36
9.642271719217049395e+03 7.570273489282991119e+36
9.640102827763495952e+03 7.574440277118259804e+36
9.637934911812893915e+03 7.578776606071016904e+36
9.635767970707265704e+03 7.583501036225573307e+36
9.633602003789217633e+03 7.587454216900412753e+36
9.631437010401950829e+03 7.591196048822116563e+36
9.629272989889263044e+03 7.595546724777120024e+36
9.627109941595532291e+03 7.599228960777924142e+36
9.624947864865731390e+03 7.602562716294491108e+36
9.622786759045420695e+03 7.605496390159421614e+36
9.620626623480744456e+03 7.607672878611689006e+36
9.618467457518434458e+03 7.609834159264162121e+36
9.616309260505819111e+03 7.612104482842464036e+36
9.614152031790797992e+03 7.610265358192764536e+36
9.611995770721860026e+03 7.608970230040564515e+36
9.609840476648087133e+03 7.608810041666539834e+36
9.607686148919137850e+03 7.610835457984381052e+36
9.605532786885245514e+03 7.613848587079853840e+36
9.603380389897243731e+03 7.618190439774257787e+36
9.601228957306537268e+03 7.621920977085540583e+36
9.599078488465107512e+03 7.625750931975428758e+36
9.596928982725527021e+03 7.628430377200753170e+36
9.594780439440944974e+03 7.630281193781414863e+36
9.592632857965083531e+03 7.632893137000010564e+36
9.590486237652250566e+03 7.635481277453463120e+36
9.588340577857325115e+03 7.639481438992474374e+36
9.586195877935771932e+03 7.643600444968276795e+36
9.584052137243626930e+03 7.647243475212524869e+36
9.581909355137500825e+03 7.650476892099339003e+36
9.579767530974582769e+03 7.653985614372798256e+36
9.577626664112633080e+03 7.657757270126854617e+36
9.575486753909990512e+03 7.662541774097755407e+36
9.573347799725563164e+03 7.667319092660366321e+36
9.571209800918835754e+03 7.671764574932214139e+36
9.569072756849862344e+03 7.676261277235037889e+36
9.566936666879264521e+03 7.680379304600974322e+36
9.564801530368245949e+03 7.683935979782892052e+36
9.562667346678568720e+03 7.687880964576696996e+36
9.560534115172567908e+03 7.692178903983068201e+36
9.558401835213153390e+03 7.696276593690785032e+36
9.556270506163793470e+03 7.699228001800691123e+36
9.554140127388534893e+03 7.701324866066297744e+36
9.552010698251982831e+03 7.703367377587175560e+36
9.549882218119309982e+03 7.705428109142211465e+36
9.547754686356256570e+03 7.706854657873823233e+36
9.545628102329132162e+03 7.705131043380075938e+36
9.543502465404802933e+03 7.699179232314307026e+36
9.541377774950702587e+03 7.690590672000728189e+36
9.539254030334828713e+03 7.683306845733164219e+36
9.537131230925739146e+03 7.680627619452240495e+36
9.535009376092551975e+03 7.681147357270364387e+36
9.532888465204956447e+03 7.681735862616784333e+36
9.530768497633192965e+03 7.682794838239504357e+36
9.528649472748062180e+03 7.684857627855309505e+36
9.526531389920930451e+03 7.686907470554108002e+36
9.524414248523715287e+03 7.689152896013882930e+36
9.522298047928899905e+03 7.692397932954946317e+36
9.520182787509520494e+03 7.694936516233447097e+36
9.518068466639169856e+03 7.697324647164751588e+36
9.515955084691999218e+03 7.699290172911378970e+36
9.513842641042716423e+03 7.701250005272159162e+36
9.511731135066582283e+03 7.704399719477684661e+36
9.509620566139410585e+03 7.707844017623319973e+36
9.507510933637573544e+03 7.711667914310865920e+36
9.505402236937994530e+03 7.715826662144680027e+36
9.503294475418144430e+03 7.719373103791721578e+36
9.501187648456058014e+03 7.722878648701542587e+36
9.499081755430310295e+03 7.726107476852357018e+36
9.496976795720029259e+03 7.730435096725186457e+36
9.494872768704899499e+03 7.734068468156547122e+36
9.492769673765149491e+03 7.738089165170137475e+36
9.490667510281555224e+03 7.742077851533038392e+36
9.488566277635449296e+03 7.746101853667083710e+36
9.486465975208702730e+03 7.750990655775679583e+36
9.484366602383737700e+03 7.755214867100533493e+36
9.482268158543523896e+03 7.758822303370095305e+36
9.480170643071576706e+03 7.762769915494323715e+36
9.478074055351951756e+03 7.767443225191046263e+36
9.475978394769259467e+03 7.772440965805100645e+36
9.473883660708646858e+03 7.777934190311273333e+36
9.471789852555803009e+03 7.783856441402601861e+36
9.469696969696969973e+03 7.789683443064892798e+36
9.467605011518920946e+03 7.795734334013524642e+36
9.465513977408973005e+03 7.802011080903828097e+36
9.463423866754992559e+03 7.808661593930099757e+36
9.461334678945377163e+03 7.815711497575126692e+36
9.459246413369068250e+03 7.821633702503635785e+36
9.457159069415547492e+03 7.826891379778454909e+36
9.455072646474834983e+03 7.831677731779412941e+36
9.452987143937483779e+03 7.836016258292849391e+36
9.450902561194594455e+03 7.841276115674138972e+36
9.448818897637795089e+03 7.847046696021975831e+36
9.446736152659255822e+03 7.853100708790087745e+36
9.444654325651681575e+03 7.859280903825342229e+36
9.442573416008310232e+03 7.865721455472962101e+36
9.440493423122914464e+03 7.863304059652814321e+36
9.438414346389807179e+03 7.855149397625969613e+36
9.436336185203825153e+03 7.844144645118187306e+36
9.434258938960343585e+03 7.836581444159603253e+36
9.432182607055272456e+03 7.837912718980006970e+36
9.430107188885047435e+03 7.842550364089158368e+36
9.428032683846637156e+03 7.847705701644885106e+36
9.425959091337543214e+03 7.849096404407848994e+36
9.423886410755796533e+03 7.849797750520791454e+36
9.421814641499951904e+03 7.845554378464619348e+36
9.419743782969102540e+03 7.848265811973886941e+36
9.417673834562863703e+03 7.855658640030094773e+36
9.415604795681376345e+03 7.863404193049373376e+36
9.413536665725312560e+03 7.867567703217002332e+36
9.411469444095871950e+03 7.872452216515804234e+36
9.409403130194774349e+03 7.876847687081690297e+36
9.407337723424270735e+03 7.876004126220160454e+36
9.405273223187134136e+03 7.878256774582770310e+36
9.403209628886659630e+03 7.876230587870524582e+36
9.401146939926671621e+03 7.866715888504133337e+36
9.399085155711511106e+03 7.846152818994460764e+36
9.397024275646044771e+03 7.822125781111638107e+36
9.394964299135663168e+03 7.804253119918697549e+36
9.392905225586275265e+03 7.806016384488515518e+36
9.390847054404306618e+03 7.813377090967596750e+36
9.388789784996713934e+03 7.816712483828644230e+36
9.386733416770965050e+03 7.822617204748932620e+36
9.384677949135044400e+03 7.829455583901665858e+36
9.382623381497467562e+03 7.833293868712396984e+36
9.380569713267253974e+03 7.838337436775575782e+36
9.378516943853945122e+03 7.844681165937257125e+36
9.376465072667604545e+03 7.849927097480432337e+36
9.374414099118805098e+03 7.854045304862892914e+36
9.372364022618638046e+03 7.858677827074321070e+36
9.370314842578711250e+03 7.862496514988348464e+36
9.368266558411141887e+03 7.866608218139100158e+36
9.366219169528567363e+03 7.872476420105586019e+36
9.364172675344132585e+03 7.876459471278318157e+36
9.362127075271502690e+03 7.881274708300612502e+36
9.360082368724844855e+03 7.885351958230533060e+36
9.358038555118846489e+03 7.889401401207685902e+36
9.355995633868704317e+03 7.893480047078772424e+36
9.353953604390122564e+03 7.898046412062736586e+36
9.351912466099316589e+03 7.901397955227744902e+36
9.349872218413016526e+03 7.902832898095813874e+36
9.347832860748449093e+03 7.905672435910364676e+36
9.345794392523364877e+03 7.908175162972401326e+36
9.343756813156009230e+03 7.911493674621849717e+36
9.341720122065142277e+03 7.915364285534078733e+36
9.339684318670028006e+03 7.915896470242667956e+36
9.337649402390439718e+03 7.914752888840821745e+36
9.335615372646647302e+03 7.912914640651958163e+36
9.333582228859437237e+03 7.910886835725166657e+36
9.331549970450092587e+03 7.913546097439347355e+36
9.329518596840402097e+03 7.917121421851285246e+36
9.327488107452663826e+03 7.920087431245760126e+36
9.325458501709668781e+03 7.922500773066579861e+36
9.323429779034713647e+03 7.925753735007953755e+36
9.321401938851602608e+03 7.928252295218648388e+36
9.319374980584636432e+03 7.928095735663882702e+36
9.317348903658610652e+03 7.928576649703288660e+36
9.315323707498835574e+03 7.927034017545497627e+36
9.313299391531107176e+03 7.926579485562288463e+36
9.311275955181725294e+03 7.929024653967347202e+36
9.309253397877489988e+03 7.931119140492818060e+36
9.307231719045699720e+03 7.933949550197692533e+36
9.305210918114144079e+03 7.936562317799574934e+36
9.303190994511116514e+03 7.939970475585388080e+36
9.301171947665405241e+03 7.943727996961352292e+36
9.299153777006291421e+03 7.947868349142105312e+36
9.297136481963554616e+03 7.952719295784490643e+36
9.295120061967467336e+03 7.957022348763925376e+36
9.293104516448793220e+03 7.962115386101296905e+36
9.291089844838799763e+03 7.966369300822273193e+36
9.289076046569234677e+03 7.970257150032915903e+36
9.287063121072345893e+03 7.974370558614945899e+36
9.285051067780872472e+03 7.979292821665552202e+36
9.283039886128044600e+03 7.983449589400388534e+36
9.281029575547579952e+03 7.987613792377290023e+36
9.279020135473694609e+03 7.992419331704490420e+36
9.277011565341084861e+03 7.997912572310951821e+36
9.275003864584943585e+03 8.003565174700336258e+36
9.272997032640949328e+03 8.009998155845466485e+36
9.270991068945271763e+03 8.016407490735841303e+36
9.268985972934560778e+03 8.023748889210380310e+36
9.266981744045964660e+03 8.031924709920467619e+36
9.264978381717110096e+03 8.038858477841903313e+36
