# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 6.906865654218329623e+36
9.997667210984103804e+03 6.909454863177791224e+36
9.995335510095288555e+03 6.912318157510135375e+36
9.993004896572398138e+03 6.914044417371429780e+36
9.990675369654989481e+03 6.908425566420740463e+36
9.988346928583318004e+03 6.903004390855606993e+36
9.986019572598363084e+03 6.898481272442989013e+36
9.983693300941797133e+03 6.900619297384103021e+36
9.981368112856000153e+03 6.903604661635353121e+36
9.979044007584074279e+03 6.907649349366849869e+36
9.976720984369805592e+03 6.910647393792258266e+36
9.974399042457691394e+03 6.913553505282161119e+36
9.972078181092938394e+03 6.916262272815264126e+36
9.969758399521451793e+03 6.918743161633533563e+36
9.967439696989833465e+03 6.921625423537278660e+36
9.965122072745391051e+03 6.924290870536728347e+36
9.962805526036134324e+03 6.927019299535620830e+36
9.960490056110758815e+03 6.929657423051610964e+36
9.958175662218682191e+03 6.932082688578353519e+36
9.955862343609996969e+03 6.934258574630342795e+36
9.953550099535501431e+03 6.936613737610939441e+36
9.951238929246690532e+03 6.939109720692176387e+36
9.948928831995755900e+03 6.941575505007482307e+36
9.946619807035574922e+03 6.944355002244287161e+36
9.944311853619728936e+03 6.946394955984404474e+36
9.942004971002486855e+03 6.949068059883383304e+36
9.939699158438805171e+03 6.951557409915283489e+36
9.937394415184338868e+03 6.954180026452867909e+36
9.935090740495432328e+03 6.956716765248499322e+36
9.932788133629108415e+03 6.959172293630522882e+36
9.930486593843097580e+03 6.961604967599894903e+36
9.928186120395803300e+03 6.964109174785396719e+36
9.925886712546320268e+03 6.965764663110948250e+36
9.923588369554430756e+03 6.967053663838904829e+36
9.921291090680602792e+03 6.968282135582406678e+36
9.918994875185979254e+03 6.969136607507936994e+36
9.916699722332408783e+03 6.970666686359602843e+36
9.914405631382398496e+03 6.972357425598887764e+36
9.912112601599152185e+03 6.974381078193842119e+36
9.909820632246555761e+03 6.976449331777468119e+36
9.907529722589168159e+03 6.978546107870629687e+36
9.905239871892230440e+03 6.980760255080533839e+36
9.902951079421667600e+03 6.983515994548919848e+36
9.900663344444077666e+03 6.986833206908999900e+36
9.898376666226738962e+03 6.990243204117790690e+36
9.896091044037604661e+03 6.993170821512269096e+36
9.893806477145308236e+03 6.995791250689885990e+36
9.891522964819148910e+03 6.998324792181344314e+36
9.889240506329115306e+03 7.000760727724443726e+36
9.886959100945854516e+03 7.003179887416792514e+36
9.884678747940692119e+03 7.004953873010606581e+36
9.882399446585630358e+03 7.006310637544385660e+36
9.880121196153340861e+03 7.007143481301327747e+36
9.877843995917157372e+03 7.007713133651358634e+36
9.875567845151095753e+03 7.008759517974037057e+36
9.873292743129835799e+03 7.010885257875237646e+36
9.871018689128717597e+03 7.013148591002204470e+36
9.868745682423765174e+03 7.015233510537211417e+36
9.866473722291653758e+03 7.017625026534544678e+36
9.864202808009733417e+03 7.020318850183962839e+36
9.861932938856016335e+03 7.023351602926324312e+36
9.859664114109178627e+03 7.026327384466768049e+36
9.857396333048563974e+03 7.029328860861648735e+36
9.855129594954172717e+03 7.031903442564392445e+36
9.852863899106672761e+03 7.034115246245039047e+36
9.850599244787390489e+03 7.036536286696797682e+36
9.848335631278314395e+03 7.038891019565859493e+36
9.846073057862089627e+03 7.041007896534531501e+36
9.843811523822023446e+03 7.042910987768139729e+36
9.841551028442083407e+03 7.044916994444441864e+36
9.839291571006888262e+03 7.047524333303073006e+36
9.837033150801717056e+03 7.049894841691291793e+36
9.834775767112510948e+03 7.051504053093709386e+36
9.832519419225853198e+03 7.052701393345087490e+36
9.830264106428990999e+03 7.054189179197142021e+36
9.828009828009828198e+03 7.056153370286925575e+36
9.825756583256910744e+03 7.058280706419267329e+36
9.823504371459444883e+03 7.060633418562501947e+36
9.821253191907286237e+03 7.063498285729696641e+36
9.819003043890945264e+03 7.066039467729756169e+36
9.816753926701569071e+03 7.067837061732736399e+36
9.814505839630974151e+03 7.069960755308024143e+36
9.812258781971610006e+03 7.072034652612688972e+36
9.810012753016577335e+03 7.074259391612644600e+36
9.807767752059631675e+03 7.076429969177558402e+36
9.805523778395163390e+03 7.078558698249519358e+36
9.803280831318212222e+03 7.080264985848516484e+36
9.801038910124472750e+03 7.081685091086343634e+36
9.798798014110270742e+03 7.083083450898356232e+36
9.796558142572575889e+03 7.085295960564269332e+36
9.794319294809010898e+03 7.087395731621341362e+36
9.792081470117831486e+03 7.089108194552910800e+36
9.789844667797937291e+03 7.090840127089957165e+36
9.787608887148870053e+03 7.093066020086107590e+36
9.785374127470808162e+03 7.095296052439299989e+36
9.783140388064568469e+03 7.097791862623152630e+36
9.780907668231611751e+03 7.100417262543083206e+36
9.778675967274031791e+03 7.102799234287771744e+36
9.776445284494557200e+03 7.104898752604801379e+36
9.774215619196560510e+03 7.107214480055001860e+36
9.771986970684039989e+03 7.109891447029115615e+36
9.769759338261632365e+03 7.112977153716473437e+36
9.767532721234616474e+03 7.116080926224983321e+36
9.765307118908889606e+03 7.119357368494877458e+36
9.763082530590991155e+03 7.122830828450793078e+36
9.760858955588091703e+03 7.126258023015952611e+36
9.758636393207989386e+03 7.129541544666736757e+36
9.756414842759113526e+03 7.132970958907698860e+36
9.754194303550526456e+03 7.135750222974462762e+36
9.751974774891916240e+03 7.137955024182736563e+36
9.749756256093596676e+03 7.140238748820355940e+36
9.747538746466518205e+03 7.142562177107594867e+36
9.745322245322246090e+03 7.144976293861875134e+36
9.743106751972978600e+03 7.146451898394754955e+36
9.740892265731541556e+03 7.144494851691522853e+36
9.738678785911377418e+03 7.142093229546627388e+36
9.736466311826559831e+03 7.139346169936002322e+36
9.734254842791784540e+03 7.139501814454050118e+36
9.732044378122365742e+03 7.140761531908036773e+36
9.729834917134237912e+03 7.142197444770598478e+36
9.727626459143968532e+03 7.143410803642914507e+36
9.725419003468732626e+03 7.145445660660371864e+36
9.723212549426329133e+03 7.147766170595396733e+36
9.721007096335180904e+03 7.149895906405470727e+36
9.718802643514320152e+03 7.152433389487518676e+36
9.716599190283399366e+03 7.154338827372057595e+36
9.714396735962696766e+03 7.156296016511975769e+36
9.712195279873094478e+03 7.158649858643140730e+36
9.709994821336094901e+03 7.161151825403922172e+36
9.707795359673818893e+03 7.164138375096823928e+36
9.705596894208994854e+03 7.167798821693772119e+36
9.703399424264966001e+03 7.170627523340220188e+36
9.701202949165697646e+03 7.173480216592542472e+36
9.699007468235751730e+03 7.176213803545600920e+36
9.696812980800310470e+03 7.178585527551879592e+36
9.694619486185167261e+03 7.180975310122805109e+36
9.692426983716724862e+03 7.183682945714733799e+36
9.690235472721986298e+03 7.186726960739894215e+36
9.688044952528580325e+03 7.189960146238373768e+36
9.685855422464728690e+03 7.193469067468429156e+36
9.683666881859262503e+03 7.196217687023796965e+36
9.681479330041629510e+03 7.198314776749743256e+36
9.679292766341874085e+03 7.200293952131486341e+36
9.677107190090642689e+03 7.203538504173122460e+36
9.674922600619194782e+03 7.206275076980471699e+36
9.672738997259391908e+03 7.209016740814972807e+36
9.670556379343692242e+03 7.211748854454667182e+36
9.668374746205161500e+03 7.215233295416927538e+36
9.666194097177471122e+03 7.218751840093570716e+36
9.664014431594883717e+03 7.221876271512960895e+36
9.661835748792271261e+03 7.224357337300409024e+36
9.659658048105096896e+03 7.226015764929482419e+36
9.657481328869431309e+03 7.227991928793334413e+36
9.655305590421936358e+03 7.230157301459355803e+36
9.653130832099877807e+03 7.230979322380394380e+36
9.650957053241112590e+03 7.228165115669342624e+36
9.648784253184099725e+03 7.226925886833160336e+36
9.646612431267887587e+03 7.224972919647832703e+36
