# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 5.047816980062467901e+36
9.997667210984103804e+03 5.049075411212830203e+36
9.995335510095288555e+03 5.050414544165117781e+36
9.993004896572398138e+03 5.051303966523085186e+36
9.990675369654989481e+03 5.051402660801497242e+36
9.988346928583318004e+03 5.052536875772037896e+36
9.986019572598363084e+03 5.053940332384067535e+36
9.983693300941797133e+03 5.055603570778770188e+36
9.981368112856000153e+03 5.056797278585267047e+36
9.979044007584074279e+03 5.057968324169438642e+36
9.976720984369805592e+03 5.059269804145541075e+36
9.974399042457691394e+03 5.060524350624030616e+36
9.972078181092938394e+03 5.062041492805225712e+36
9.969758399521451793e+03 5.063403611778961586e+36
9.967439696989833465e+03 5.064617967963407253e+36
9.965122072745391051e+03 5.065756006814386088e+36
9.962805526036134324e+03 5.067024320913270800e+36
9.960490056110758815e+03 5.068200404711516987e+36
9.958175662218682191e+03 5.069506936642413943e+36
9.955862343609996969e+03 5.070963838096799765e+36
9.953550099535501431e+03 5.072435434792896491e+36
9.951238929246690532e+03 5.073914046648316429e+36
9.948928831995755900e+03 5.075382469305251260e+36
9.946619807035574922e+03 5.076891655702211110e+36
9.944311853619728936e+03 5.078495019185676369e+36
9.942004971002486855e+03 5.080063379225800836e+36
9.939699158438805171e+03 5.081622807795911623e+36
9.937394415184338868e+03 5.083147439404209955e+36
9.935090740495432328e+03 5.084624921707617659e+36
9.932788133629108415e+03 5.085893927486269846e+36
9.930486593843097580e+03 5.087144546381678016e+36
9.928186120395803300e+03 5.088550708079663198e+36
9.925886712546320268e+03 5.089630527567035986e+36
9.923588369554430756e+03 5.090612390024683471e+36
9.921291090680602792e+03 5.091552606035799745e+36
9.918994875185979254e+03 5.092746137774892752e+36
9.916699722332408783e+03 5.094429359244243054e+36
9.914405631382398496e+03 5.096261077921644387e+36
9.912112601599152185e+03 5.097931924234264979e+36
9.909820632246555761e+03 5.099451670716611111e+36
9.907529722589168159e+03 5.101017598286842076e+36
9.905239871892230440e+03 5.102540170220477037e+36
9.902951079421667600e+03 5.103926117891232226e+36
9.900663344444077666e+03 5.105371762653903862e+36
9.898376666226738962e+03 5.106814679989829009e+36
9.896091044037604661e+03 5.108424426673807337e+36
9.893806477145308236e+03 5.110044253685617277e+36
9.891522964819148910e+03 5.111276656092780784e+36
9.889240506329115306e+03 5.112483835667969155e+36
