# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 1.694935262106039882e+36
9.997667210984103804e+03 1.695166723674959396e+36
9.995335510095288555e+03 1.695450838028658497e+36
9.993004896572398138e+03 1.695624321762251841e+36
9.990675369654989481e+03 1.695788389867660233e+36
9.988346928583318004e+03 1.695990877603275737e+36
9.986019572598363084e+03 1.696196418041062842e+36
9.983693300941797133e+03 1.696446456628366359e+36
9.981368112856000153e+03 1.696741956598324262e+36
9.979044007584074279e+03 1.697023616675355332e+36
9.976720984369805592e+03 1.697333451902082302e+36
9.974399042457691394e+03 1.697628436171686204e+36
9.972078181092938394e+03 1.697854433718808805e+36
9.969758399521451793e+03 1.698077038027255371e+36
9.967439696989833465e+03 1.698316001162705853e+36
9.965122072745391051e+03 1.698537797246406594e+36
9.962805526036134324e+03 1.698743239054388894e+36
9.960490056110758815e+03 1.698962688817185068e+36
9.958175662218682191e+03 1.699186632708372987e+36
9.955862343609996969e+03 1.699380849508678408e+36
9.953550099535501431e+03 1.699536762681732467e+36
9.951238929246690532e+03 1.699738726017858035e+36
9.948928831995755900e+03 1.699970894611809091e+36
9.946619807035574922e+03 1.700138397276486317e+36
9.944311853619728936e+03 1.700311051497651865e+36
9.942004971002486855e+03 1.700610416755697573e+36
9.939699158438805171e+03 1.700884834845342102e+36
9.937394415184338868e+03 1.701126845000860240e+36
9.935090740495432328e+03 1.701452227339531247e+36
9.932788133629108415e+03 1.701748674593829861e+36
9.930486593843097580e+03 1.701962242077765276e+36
9.928186120395803300e+03 1.702308077534259690e+36
9.925886712546320268e+03 1.702596995590265991e+36
9.923588369554430756e+03 1.702816852234909107e+36
9.921291090680602792e+03 1.703011120573681409e+36
9.918994875185979254e+03 1.703280504087796647e+36
9.916699722332408783e+03 1.703593129567404170e+36
9.914405631382398496e+03 1.703851348896757288e+36
9.912112601599152185e+03 1.704093967209574289e+36
9.909820632246555761e+03 1.704342070418437907e+36
9.907529722589168159e+03 1.704533575820860642e+36
9.905239871892230440e+03 1.704792699263237323e+36
9.902951079421667600e+03 1.705054132076061270e+36
9.900663344444077666e+03 1.705301574607822465e+36
9.898376666226738962e+03 1.705565984863327863e+36
9.896091044037604661e+03 1.705821149493473426e+36
9.893806477145308236e+03 1.706057248031824568e+36
9.891522964819148910e+03 1.706279701799944558e+36
9.889240506329115306e+03 1.706450022310875861e+36
9.886959100945854516e+03 1.706515567211521363e+36
9.884678747940692119e+03 1.706672141494795592e+36
9.882399446585630358e+03 1.706846095792127386e+36
9.880121196153340861e+03 1.706989961945119443e+36
9.877843995917157372e+03 1.707242062302013991e+36
9.875567845151095753e+03 1.707489829539216268e+36
9.873292743129835799e+03 1.707691161282749145e+36
9.871018689128717597e+03 1.707910167729545077e+36
9.868745682423765174e+03 1.708137914907300765e+36
9.866473722291653758e+03 1.708363624043145456e+36
9.864202808009733417e+03 1.708625665546848160e+36
9.861932938856016335e+03 1.708875873426149368e+36
9.859664114109178627e+03 1.709097305511968150e+36
