# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 1.592548553103264781e+36
9.997667210984103804e+03 1.592751437603185723e+36
9.995335510095288555e+03 1.592926500518091418e+36
9.993004896572398138e+03 1.593084883100980751e+36
9.990675369654989481e+03 1.593267985820908288e+36
9.988346928583318004e+03 1.593475529970012940e+36
9.986019572598363084e+03 1.593729971204764043e+36
9.983693300941797133e+03 1.593988824524307555e+36
9.981368112856000153e+03 1.594282259808019582e+36
9.979044007584074279e+03 1.594549230043461745e+36
9.976720984369805592e+03 1.594772481272302643e+36
9.974399042457691394e+03 1.594996745025307483e+36
9.972078181092938394e+03 1.595219306970942052e+36
9.969758399521451793e+03 1.595412881540617880e+36
9.967439696989833465e+03 1.595592205195886390e+36
9.965122072745391051e+03 1.595790280883009136e+36
9.962805526036134324e+03 1.596015896861498194e+36
9.960490056110758815e+03 1.596208798395987673e+36
9.958175662218682191e+03 1.596338520183903865e+36
9.955862343609996969e+03 1.596505519015967339e+36
9.953550099535501431e+03 1.596728716593228452e+36
9.951238929246690532e+03 1.596920209044179186e+36
9.948928831995755900e+03 1.597085624473518955e+36
9.946619807035574922e+03 1.597355853668806716e+36
9.944311853619728936e+03 1.597621843771228445e+36
9.942004971002486855e+03 1.597861152728197085e+36
9.939699158438805171e+03 1.598179830380947481e+36
9.937394415184338868e+03 1.598478741658349642e+36
9.935090740495432328e+03 1.598699765768104895e+36
9.932788133629108415e+03 1.598918313354224556e+36
9.930486593843097580e+03 1.599196434029696964e+36
9.928186120395803300e+03 1.599522881221912244e+36
9.925886712546320268e+03 1.599688594694497932e+36
9.923588369554430756e+03 1.599885266346078607e+36
9.921291090680602792e+03 1.600168431015875969e+36
9.918994875185979254e+03 1.600439386023592565e+36
9.916699722332408783e+03 1.600678279852669026e+36
9.914405631382398496e+03 1.600876099076355545e+36
9.912112601599152185e+03 1.601086433069752158e+36
9.909820632246555761e+03 1.601362036847858105e+36
9.907529722589168159e+03 1.601591827047570447e+36
9.905239871892230440e+03 1.601822442495564768e+36
9.902951079421667600e+03 1.602059369361270264e+36
9.900663344444077666e+03 1.602314363254267445e+36
9.898376666226738962e+03 1.602562578751715065e+36
9.896091044037604661e+03 1.602780737381751533e+36
9.893806477145308236e+03 1.602965987489276442e+36
9.891522964819148910e+03 1.603139696435025191e+36
9.889240506329115306e+03 1.603306140722380844e+36
9.886959100945854516e+03 1.603422236501991618e+36
9.884678747940692119e+03 1.603596280953522251e+36
9.882399446585630358e+03 1.603762812738747071e+36
9.880121196153340861e+03 1.603884294653605641e+36
9.877843995917157372e+03 1.604030246383760577e+36
9.875567845151095753e+03 1.604203055131740784e+36
9.873292743129835799e+03 1.604412974469073972e+36
9.871018689128717597e+03 1.604629812394313033e+36
9.868745682423765174e+03 1.604849949217304016e+36
9.866473722291653758e+03 1.605073324772549030e+36
9.864202808009733417e+03 1.605296868139607280e+36
9.861932938856016335e+03 1.605524553188991315e+36
9.859664114109178627e+03 1.605688361177007918e+36
9.857396333048563974e+03 1.605795688550094099e+36
9.855129594954172717e+03 1.605948896610779239e+36
9.852863899106672761e+03 1.606111880975867110e+36
9.850599244787390489e+03 1.606285240863757828e+36
9.848335631278314395e+03 1.606459342378165893e+36
9.846073057862089627e+03 1.606669889414751186e+36
9.843811523822023446e+03 1.606897461010054053e+36
9.841551028442083407e+03 1.607104141217198570e+36
9.839291571006888262e+03 1.607290377081076236e+36
9.837033150801717056e+03 1.607442897786541149e+36
9.834775767112510948e+03 1.607585826119977809e+36
9.832519419225853198e+03 1.607737772640925666e+36
9.830264106428990999e+03 1.607914502649951581e+36
9.828009828009828198e+03 1.608135317747024005e+36
9.825756583256910744e+03 1.608359592038857977e+36
