# wavelength(A) luminosity(erg/s/A)
1.000000000000000000e+04 3.692557468912102286e+35
9.997667210984103804e+03 3.693445928941382369e+35
9.995335510095288555e+03 3.694085467398709773e+35
9.993004896572398138e+03 3.694575301976843586e+35
9.990675369654989481e+03 3.695016909111881125e+35
9.988346928583318004e+03 3.695472764874769857e+35
9.986019572598363084e+03 3.696055491586317787e+35
9.983693300941797133e+03 3.696767164842102484e+35
9.981368112856000153e+03 3.697640611895100951e+35
9.979044007584074279e+03 3.698397467916636152e+35
9.976720984369805592e+03 3.699126602563349257e+35
9.974399042457691394e+03 3.699834272371179548e+35
9.972078181092938394e+03 3.700522575682125715e+35
9.969758399521451793e+03 3.701108571111273680e+35
9.967439696989833465e+03 3.701726412610115499e+35
9.965122072745391051e+03 3.702337598214221877e+35
9.962805526036134324e+03 3.703245578485912359e+35
9.960490056110758815e+03 3.704220026560307566e+35
9.958175662218682191e+03 3.705074307557654658e+35
9.955862343609996969e+03 3.705868070305301528e+35
9.953550099535501431e+03 3.706765100306523559e+35
9.951238929246690532e+03 3.707790499429602759e+35
9.948928831995755900e+03 3.708933774722792759e+35
9.946619807035574922e+03 3.709703612883150770e+35
9.944311853619728936e+03 3.710594481368787672e+35
9.942004971002486855e+03 3.711376120253547728e+35
9.939699158438805171e+03 3.712110275387356448e+35
9.937394415184338868e+03 3.712719041956131446e+35
9.935090740495432328e+03 3.713253408063647935e+35
9.932788133629108415e+03 3.714041509589623271e+35
9.930486593843097580e+03 3.715131727804444827e+35
9.928186120395803300e+03 3.716350312032927605e+35
9.925886712546320268e+03 3.717306170547220940e+35
9.923588369554430756e+03 3.718256779578906292e+35
9.921291090680602792e+03 3.719067782391150662e+35
9.918994875185979254e+03 3.720072081972100411e+35
9.916699722332408783e+03 3.720879409124391745e+35
9.914405631382398496e+03 3.721715807340583038e+35
9.912112601599152185e+03 3.722559574752570797e+35
9.909820632246555761e+03 3.723305998427050586e+35
9.907529722589168159e+03 3.724117778462450365e+35
9.905239871892230440e+03 3.724880239935924909e+35
9.902951079421667600e+03 3.725489258096885685e+35
9.900663344444077666e+03 3.726054637929978941e+35
9.898376666226738962e+03 3.726645881372607415e+35
9.896091044037604661e+03 3.728002586859507430e+35
9.893806477145308236e+03 3.729210052191525018e+35
9.891522964819148910e+03 3.730101560450900068e+35
9.889240506329115306e+03 3.730728257890416114e+35
9.886959100945854516e+03 3.731575631749678034e+35
9.884678747940692119e+03 3.732169787993934972e+35
9.882399446585630358e+03 3.732443866271619638e+35
9.880121196153340861e+03 3.732899819167440467e+35
9.877843995917157372e+03 3.733657439580536791e+35
9.875567845151095753e+03 3.734578324734239016e+35
9.873292743129835799e+03 3.735461928327021900e+35
9.871018689128717597e+03 3.736219248815624941e+35
9.868745682423765174e+03 3.736951822140675550e+35
9.866473722291653758e+03 3.737666293718395578e+35
9.864202808009733417e+03 3.738083912436167012e+35
9.861932938856016335e+03 3.738469147069487196e+35
9.859664114109178627e+03 3.738784519314692111e+35
9.857396333048563974e+03 3.739030013028557878e+35
9.855129594954172717e+03 3.739653988723550175e+35
9.852863899106672761e+03 3.740484979676981091e+35
9.850599244787390489e+03 3.741110961243644179e+35
9.848335631278314395e+03 3.741611467264720295e+35
9.846073057862089627e+03 3.742154609971187684e+35
9.843811523822023446e+03 3.742795330627923029e+35
9.841551028442083407e+03 3.743610472593301276e+35
9.839291571006888262e+03 3.744777408425305722e+35
9.837033150801717056e+03 3.745678828544461097e+35
9.834775767112510948e+03 3.746237310918859490e+35
9.832519419225853198e+03 3.746782479946560827e+35
9.830264106428990999e+03 3.747301512143236419e+35
9.828009828009828198e+03 3.747856586249613056e+35
9.825756583256910744e+03 3.748402376677465304e+35
9.823504371459444883e+03 3.748732248882929070e+35
9.821253191907286237e+03 3.749431737389153161e+35
9.819003043890945264e+03 3.750364821069763777e+35
9.816753926701569071e+03 3.751550296031464597e+35
9.814505839630974151e+03 3.752825114412769473e+35
9.812258781971610006e+03 3.754069828642745103e+35
9.810012753016577335e+03 3.755307242741293533e+35
9.807767752059631675e+03 3.756431045106191940e+35
9.805523778395163390e+03 3.757359576169881041e+35
9.803280831318212222e+03 3.758276612833895743e+35
9.801038910124472750e+03 3.758980295393550272e+35
9.798798014110270742e+03 3.759306937589594695e+35
9.796558142572575889e+03 3.759994487548125300e+35
9.794319294809010898e+03 3.760810716795943221e+35
9.792081470117831486e+03 3.762003620402386873e+35
9.789844667797937291e+03 3.763256513523492809e+35
9.787608887148870053e+03 3.764376536512424641e+35
9.785374127470808162e+03 3.764933348965930835e+35
9.783140388064568469e+03 3.765507675721785703e+35
9.780907668231611751e+03 3.765751391694511936e+35
9.778675967274031791e+03 3.766157785913735742e+35
9.776445284494557200e+03 3.766723067153261568e+35
9.774215619196560510e+03 3.767559362508711543e+35
9.771986970684039989e+03 3.768024155486429301e+35
9.769759338261632365e+03 3.768948668910645486e+35
9.767532721234616474e+03 3.769714961555509106e+35
9.765307118908889606e+03 3.770528231160999210e+35
9.763082530590991155e+03 3.771433007254401767e+35
9.760858955588091703e+03 3.772068270345317967e+35
9.758636393207989386e+03 3.772809085187867398e+35
9.756414842759113526e+03 3.773765375546219232e+35
9.754194303550526456e+03 3.775156605968787829e+35
9.751974774891916240e+03 3.776660903644933839e+35
9.749756256093596676e+03 3.777861734200351129e+35
9.747538746466518205e+03 3.778445035244966270e+35
9.745322245322246090e+03 3.779179477014658856e+35
9.743106751972978600e+03 3.779595311053494659e+35
9.740892265731541556e+03 3.780506805011766370e+35
9.738678785911377418e+03 3.781030506593945584e+35
9.736466311826559831e+03 3.780896532352431746e+35
9.734254842791784540e+03 3.780429724006561210e+35
9.732044378122365742e+03 3.780531301894461885e+35
9.729834917134237912e+03 3.780792153257543415e+35
9.727626459143968532e+03 3.780449121782157792e+35
9.725419003468732626e+03 3.780500054943158019e+35
9.723212549426329133e+03 3.780266838629114726e+35
9.721007096335180904e+03 3.780952316431578303e+35
9.718802643514320152e+03 3.781584377965988448e+35
9.716599190283399366e+03 3.781884590034544833e+35
9.714396735962696766e+03 3.782843982439640855e+35
9.712195279873094478e+03 3.783898700473856275e+35
9.709994821336094901e+03 3.785420534151361529e+35
9.707795359673818893e+03 3.785827021511293001e+35
9.705596894208994854e+03 3.786029412014135250e+35
9.703399424264966001e+03 3.785120208131606063e+35
9.701202949165697646e+03 3.785146295721578660e+35
9.699007468235751730e+03 3.785906576129355301e+35
9.696812980800310470e+03 3.786770425790158782e+35
9.694619486185167261e+03 3.787282442829339749e+35
9.692426983716724862e+03 3.788565681105100907e+35
9.690235472721986298e+03 3.789474137458479011e+35
9.688044952528580325e+03 3.790574356099503684e+35
9.685855422464728690e+03 3.791470054635064573e+35
9.683666881859262503e+03 3.792610534351563694e+35
9.681479330041629510e+03 3.794084312210054532e+35
9.679292766341874085e+03 3.795790005206860554e+35
9.677107190090642689e+03 3.797032851875411032e+35
9.674922600619194782e+03 3.796639516036724819e+35
9.672738997259391908e+03 3.797087513222799535e+35
9.670556379343692242e+03 3.796969958074937199e+35
9.668374746205161500e+03 3.796616397544633866e+35
9.666194097177471122e+03 3.796797962961605425e+35
9.664014431594883717e+03 3.796291874253494728e+35
9.661835748792271261e+03 3.797152258285715500e+35
9.659658048105096896e+03 3.797125092811169660e+35
9.657481328869431309e+03 3.798291119102723233e+35
9.655305590421936358e+03 3.799092660972878099e+35
9.653130832099877807e+03 3.799924970412850619e+35
9.650957053241112590e+03 3.801085009222064881e+35
9.648784253184099725e+03 3.802080754507139408e+35
9.646612431267887587e+03 3.803167169013131138e+35
9.644441586832122994e+03 3.804664865160822735e+35
9.642271719217049395e+03 3.806193561799273124e+35
9.640102827763495952e+03 3.806817983239480348e+35
9.637934911812893915e+03 3.806302407384024411e+35
9.635767970707265704e+03 3.805174081967328794e+35
9.633602003789217633e+03 3.805355988708543183e+35
9.631437010401950829e+03 3.805885224542124094e+35
9.629272989889263044e+03 3.806070810822258845e+35
9.627109941595532291e+03 3.804807152463849940e+35
9.624947864865731390e+03 3.805594100470747249e+35
9.622786759045420695e+03 3.805493292339995177e+35
9.620626623480744456e+03 3.806343437308348967e+35
9.618467457518434458e+03 3.806704776925023124e+35
9.616309260505819111e+03 3.807100896424584209e+35
9.614152031790797992e+03 3.808663702720537332e+35
9.611995770721860026e+03 3.809439730163365251e+35
9.609840476648087133e+03 3.810755163776253965e+35
9.607686148919137850e+03 3.811083946582930333e+35
9.605532786885245514e+03 3.811857512924949827e+35
9.603380389897243731e+03 3.812469782773893406e+35
9.601228957306537268e+03 3.813318906900529584e+35
